,Title,Location,Company,Salary
0,Data and Systems Analyst,Hobart TAS,Tasmanian Government,"$83,651 - $87,792 a year"
1,Analyst,Hobart TAS,Rabobank,
2,Misconduct Prevention Project Officer/Analyst,Hobart TAS,Tasmanian Government,"$83,651 - $87,792 a year"
3,Business Analyst,Hobart TAS,HAYS,
4,ABA/ Behaviour Lead Therapist,Glenorchy TAS,Leaps Ahead Early Intervention,"$70,000 - $85,000 a year"
5,Property Research Coordinator,Hobart TAS,Ripehouse Advisory,"$55,000 - $75,000 a year"
6,Business Analyst - Recoverable Damages (6 month contract),Hobart TAS,Tandem Corp,
7,Junior Data Analyst/Scientist,Sydney NSW,International Institute of Data & Analytics,
8,Data Analyst,North Sydney NSW,oOh!,
9,Data Analyst,Sydney NSW,Digitas,
10,Data & Analytics Engineer/Analyst,North Ryde NSW,Amgen,
11,Data Analyst,Sydney NSW,AMP Limited,
12,Junior Data Analyst (Contract),Sydney NSW,Veeva Systems,
13,Data Analyst,Rhodes NSW,Nestlé,
14,Data Analyst,Sydney NSW,Servian,"$70,000 - $100,000 a year"
15,Data Analyst,Sydney NSW,Veeva Systems,
16,"Analyst, Static Data and Asset Valuations",Sydney NSW,AMP Limited,
17,Data Architect - AWS & GCP - Sydney or Melbourne,Sydney NSW,Capgemini Australia,
18,Trust Analyst - Data,North Sydney NSW,Pepper,
19,Senior Data Analyst/Scientist,Sydney NSW,International Institute of Data & Analytics,
20,Customer Experience (CX) Data Analyst,Sydney Central Business District NSW,icare NSW,"$110,745 a year"
21,Data Scientist - Investment Portfolio Performance Insights,Sydney NSW,Westpac Group,
22,Data Analyst (Contract),Sydney NSW,Veeva Systems,
23,Junior Business Intelligence Analyst - Group Treasury Data &...,Sydney NSW,Macquarie Group Limited,
24,Systems & Data Analyst,Redfern NSW,The Salvation Army,
25,Data Visualisation Analyst - Marketing,Sydney NSW,REA Group,
26,Data Scientist,Sydney NSW,REA Group,
27,Commercial Data Analyst,North Sydney NSW,Vodafone,
28,"Analyst, Investment Analytics and Data",Sydney NSW,Dimensional Fund Advisors,
29,Data Analyst,Sydney NSW,Johnson & Johnson Family of Companies,
30,"Graduate Data & Analytics Role, Financial Services Risk Advi...",Sydney NSW,EY,
31,Analyst Inventory,Sydney NSW,Qantas Airways Limited,
32,Senior Data Analyst,Sydney NSW,DWS,
33,"Data Analyst - Product, Features, & Growth",Sydney NSW,Canva,
34,Data Engineer,Sydney NSW,Metigy,
35,Data & Insights Analyst,Woolloomooloo NSW,Universal Music Group,
36,"Senior Data Scientist, Jira Product Analytics",Sydney NSW,Atlassian,
37,Data Analyst – Group Reporting,Sydney NSW,Downer Group,
38,Sustainability Analyst,Sydney Central Business District NSW,Knight Frank,
39,Data Engineer (Cloud),Sydney NSW,Servian,
40,IT SERVICE DESK ANALYST,Sydney Central Business District NSW,Torrens University Australia,
41,Digital Forensics & eDiscovery Analyst,Sydney NSW,Commonwealth Bank,
42,Equity Research Analyst,Sydney NSW,Morgan Stanley,
43,Analyst,Sydney NSW,AXA Funds Management,
44,Data Scientist/Analyst – SAS,Sydney NSW,Adaps,
45,Business Data Analyst,Sydney NSW,Genworth,
46,"Consultant or Senior Consultant; Valuation, Modelling & Econ...",Sydney NSW,EY,"$65,000 a year"
47,Junior Software Engineer,Sydney NSW,Displayr,"$80,000 - $110,000 a year"
48,"Analyst, Data Management, CIU",Sydney NSW,Rabobank,
49,Data Analyst,Sydney NSW,Motion Recruitment,
50,Data & Reporting Analyst,Surry Hills NSW,News Corp Australia,
51,Sydney Research Analyst 2020,Sydney NSW,"The Brattle Group, Inc.",
52,Technology Supplier Relationship Analyst,Sydney NSW,Qantas Airways Limited,
53,Associate Desktop Support Analyst - Tech Bar,Sydney NSW,Fujitsu,
54,"Principal Data Scientist, Jira Product Analytics",Sydney NSW,Atlassian,
55,Fund Analyst,Sydney NSW,AXA Investment Managers,
56,Senior Data Analyst,Sydney NSW,AMP Limited,
57,Data Analyst Spare Parts - Greystanes,Greystanes NSW,Hitachi Construction Machinery,
58,Data analyst,Sydney Central Business District NSW,Robert Half Australia,$350 a day
59,Graduate Software Engineer,Sydney NSW,Displayr,"$80,000 - $100,000 a year"
60,"Senior Data Scientist, DevOps Product Analytics",Sydney NSW,Atlassian,
61,Marketing Insights Analyst,Sydney NSW,Qantas Airways Limited,
62,Business Analyst - Data & Governance,Surry Hills NSW,News Corp Australia,
63,"Senior Consultant, Data Engineer - Sydney",Sydney NSW,EY,
64,Data Analyst,Caringbah NSW,JobAdder,
65,"Business Analyst, Data Delivery",Sydney NSW,Macquarie Group Limited,
66,Data Solutions Coordinator / Insights Analyst,North Ryde NSW,Foxtel,
67,Graduate Quantitative Analyst,Sydney NSW,Macquarie Group Limited,
68,Marketing Data Analyst,Milsons Point NSW,Kimberly-Clark,
69,Data and Business Analyst,Sydney NSW,EML,
70,Analyst - Customer Insights,Sydney NSW,Westpac Group,
71,Commercial Finance Analyst,Sydney NSW,Red Bull,"$70,000 a year"
72,"Senior Analyst, Data Management",St Leonards NSW,Ministry of Health,"$110,745 - $122,038 a year"
73,Actuarial Analyst,Sydney NSW,SCOR,
74,Integrity Analyst,Sydney NSW,Sportradar AG,
75,Product Analyst - Investments,Sydney NSW,AMP Limited,
76,Asset Management Strategy Officer,Sydney NSW,City of Parramatta,"$81,826 a year"
77,Analyst - Visualisation and Self Service Analytics,Sydney NSW,Westpac Group,
78,Business Analyst,Sydney NSW,Commonwealth Bank,
79,"Business Analyst, Executive or Manager, IBOR Program - 18-24...",Sydney NSW,Macquarie Group Limited,
80,Credit Risk Analyst - Expression of Interest,Sydney NSW,Commonwealth Bank,
81,Data Portfolio Analyst,North Sydney NSW,FinXL,
82,Data Engineer,Sydney Central Business District NSW,Lendlease,
83,Quality Assurance Engineer/Tester,Sydney NSW,Accenture,"$80,000 - $145,000 a year"
84,Business Data Analyst,Homebush NSW,Harvey Norman,
85,Financial Analyst,Sydney NSW,American Express,
86,Junior QA Analyst (Native Mandarin Speaker),Sydney NSW,BigWorld Technology,
87,Credit Analyst,Sydney NSW,BNP Paribas,
88,Epidemiologist / Data Analyst,Sydney Central Business District NSW,HAYS,$50 an hour
89,Application Support Analyst,North Sydney NSW,Zinfra,
90,"Data Visualisation Specialist, Financial Services Risk Advis...",Sydney NSW,EY,"$65,000 a year"
91,Analyst - Analytics Insights,Sydney NSW,Commonwealth Bank,
92,COO - Client Analyst - Associate,Sydney NSW,Deutsche Bank,
93,"Data Analyst, Media",Macquarie Park NSW,Nielsen,
94,Big Data Developer,Sydney NSW,Macquarie Group Limited,
95,Actuarial Analyst,Sydney NSW,QBE,
96,Clinical Services and Quality Data Analyst,Inner West NSW,Opal Aged Care,
97,Entry Level Commercial Analyst - Princess Cruises,Sydney NSW,Carnival,
98,Investment Operations Analyst - Fixed Interest,Sydney NSW,AMP Limited,
99,Commercial Analyst,Mascot NSW,TNT Express,
100,"Senior Analyst, Data Governance",Sydney NSW,Macquarie Group Limited,
101,Insights Analyst - Expression of Interest,Sydney NSW,Commonwealth Bank,
102,Finance Analyst - Expenses,Sydney NSW,Commonwealth Bank,
103,Asset Management Strategy Officer,Parramatta NSW,Parramatta City Council,"$81,826 a year"
104,Data Analyst - Western Sydney,Parramatta NSW,Michael Page,
105,Data Management Senior Analyst,Sydney NSW,Macquarie Group Limited,
106,"Fulfilment Analyst, Qantas Loyalty",Sydney NSW,Qantas Airways Limited,
107,Commercial Reporting Analyst,Sydney NSW,AMP Limited,
108,Customer Insights Analyst,Sydney NSW,Commonwealth Bank,
109,"Professional Services, Senior Analyst (Sydney or Melbourne)",Sydney NSW,"Medallia, Inc.",
110,Senior Test Analyst,Sydney NSW,Computershare,
111,Quantitative Analyst,Sydney NSW,Macquarie Group Limited,
112,"Tester, Data & Analytics",North Sydney NSW,Pepper,
113,Quality Assurance Analyst - 12 month contract,Sydney NSW,Commonwealth Bank,
114,Projects & Reporting Analyst,Sydney NSW,TNT Express,
115,"Senior Analyst, Data",Sydney NSW,NAB - National Australia Bank,
116,"Insights Analyst, Financial Services Risk Advisory - Sydney",Sydney NSW,EY,"$65,000 a year"
117,Application Support Analyst,St Leonards NSW,IQVIA,
118,Master Data Analyst,Sydney NSW,Precision Sourcing,
119,"Analyst, Wealth Strategy",Sydney NSW,Macquarie Group Limited,
120,Alteryx Data Analyst,Sydney NSW,Precision Sourcing,
121,Strategy Support Analyst,Chatswood NSW,eHealth NSW,"$113,735 a year"
122,Data & Research Analyst,Sydney Central Business District NSW,HAYS,
123,Analyst Risk and Control Enablement,Sydney NSW,Commonwealth Bank,
124,Analyst,Sydney NSW,Equitise Pty Ltd,
125,Sustainability Analyst,Sydney NSW,AMP Limited,
126,Workforce Analyst,Sydney NSW,Stockland,
127,Business Analyst,Sydney NSW,TAL,
128,Pricing Analyst,Darlinghurst NSW,WooliesX,
129,Database Analyst,North Sydney NSW,Equifax,
130,Digital Analyst,Sydney NSW,TEG Pty Limited,
131,Compliance Analyst,Sydney NSW,QBE,
132,Business Operations Analyst,Sydney NSW,DXC,
133,BI Engineer,North Ryde NSW,Foxtel,
134,Application Support Analyst,Sydney NSW,BGIS,
135,BPC/BW Analyst,Sydney NSW,PwC,
136,Property Analyst,Parramatta NSW,Knight Frank,
137,Analyst IB&M Business Intelligence,Sydney NSW,Commonwealth Bank,
138,Customer Insights Analyst,Sydney NSW,Atlassian,
139,Senior Survey Analyst,Sydney NSW,"Marsh & McLennan Companies, Inc.","$60,000 - $80,000 a year"
140,Logistics Analyst,Sydney Central Business District NSW,Caltex Australia,
141,Website Content Administrator,Sydney Central Business District NSW,,"$80,000 a year"
142,"AU Securities Middle Office, Analyst/Associate",Sydney NSW,Morgan Stanley,
143,Environmental Reporting Analyst,Parramatta NSW,Sydney Water,"$110,377 a year"
144,Pricing Analyst,North Sydney NSW,Vodafone,
145,Digital Data Analyst,Homebush NSW,Michael Page,
146,Senior Analyst - Regulatory Reporting,Sydney NSW,Commonwealth Bank,
147,Revenue Analyst,Sydney NSW,Canva,
148,QA Analyst (Native Mandarin Speaker),Sydney NSW,BigWorld Technology,
149,Reinsurance Analyst,Sydney NSW,AMP Limited,
150,Business Systems Analyst,Sydney NSW,Commonwealth Bank,
151,Data & Analytics Manager- External Audit,Sydney NSW,KPMG,
152,Finance Analyst,Sydney NSW,Perpetual,
153,Business Analyst - Analytics,Sydney NSW,Commonwealth Bank,
154,Front Office Data Support - Team Lead,Sydney NSW,State Street,
155,Business Reporting Analyst,St Leonards NSW,Stryker,
156,Data Analyst | Contract 6-12 Months,Sydney Central Business District NSW,Ethos BeathChapman,
157,Application Support Analyst (12 months contract),Sydney NSW,BNP Paribas,
158,Agile Business Analyst,Sydney NSW,Macquarie Group Limited,
159,Change Analyst - Fixed Term Contract,Sydney NSW,CITI,
160,Researcher / Data Analyst,Sydney NSW,sharonbennie,"$70,000 - $100,000 a year"
161,Revenue Analyst,Sydney NSW,Tyro,
162,Group Credit Risk Analyst,Sydney NSW,QBE,
163,Senior Big Data Engineer - GCP,Sydney NSW,Capgemini Australia,
164,Research and Insights Analyst,Surry Hills NSW,News Corp Australia,
165,Senior Data Engineer,Sydney NSW,Domain Group,
166,Senior Forecast Analyst - Concord West,Inner West NSW,Westpac Group,
167,"Analyst, Customer Delivery",St Leonards NSW,MasterCard,
168,Sustainability Analyst - Property,Sydney Central Business District NSW,Lendlease,
169,Senior Business Analyst,Sydney NSW,Commonwealth Bank,
170,Business Data Analyst - Financial Services,Sydney Central Business District NSW,Peoplebank,
171,2 x Credit Analyst – Global Alternative Financier,Sydney NSW,Jon Michel Executive Search,
172,"Analyst, Strategy, Pricing, & Analytics",Sydney NSW,RELX Group,
173,Senior Data Analyst – District Planning,Penrith NSW,Nepean Blue Mountains Local Health District,"$97,812 - $116,013 a year"
174,Senior Data Engineer,Pyrmont NSW,Nine,
175,Audience Insights Analyst,Sydney NSW,REA Group,
176,Supply Chain Analyst,Revesby NSW,DuluxGroup,
177,Exceptions Analyst,Sydney NSW,AMP Limited,
178,"Business Analyst, Regulatory Reporting - 12 months contract",Sydney NSW,Macquarie Group Limited,
179,Customer Insights Analyst,Surry Hills NSW,News Corp Australia,
180,Microbiology Analyst,Old Toongabbie NSW,Baxter International,
181,Commercial Analyst,Sydney Central Business District NSW,UGL Limited,
182,Data and Systems Business Analyst - Finance,Sydney NSW,Macquarie Group Limited,
183,"Senior Analyst, Marketing -Home Ownership",Sydney NSW,Westpac Group,
184,Analyst,St Leonards NSW,IQVIA,
185,Continuous Improvement Insights Analyst,Sydney Central Business District NSW,Caltex Australia,
186,Campaign Analyst,North Ryde NSW,Foxtel,
187,Business Focused Data Insights Analysts,Sydney NSW,BusinessMinds,
188,Sales Operations Analyst,Sydney NSW,Qualtrics,
189,Senior Financial Analyst,Sydney Central Business District NSW,Caltex Australia,
190,Global Reward Analyst,Sydney NSW,Link Group,
191,Data Analyst,Sydney Central Business District NSW,HAYS,
192,"Analyst, Market Delivery",St Leonards NSW,MasterCard,
193,APAC Field Strategy Analyst,Sydney NSW,Salesforce,
194,Risk Analyst,Sydney NSW,Akuna Capital,
195,Marketing Assistant,Sydney NSW,Equitise Pty Ltd,
196,Threat Researcher,Sydney NSW,Sophos,
197,Campaign Analyst,Sydney NSW,CITI,
198,Investment Operations Portfolio Analyst,Rhodes NSW,Link Group,
199,"Risk Analyst, SwapClear",Sydney NSW,London Stock Exchange Group,
200,Junior Analyst - Project officer,Sydney NSW,APPRECIATING RECRUITMENT GROUP,$27 - $32 an hour
201,Investment Reporting Performance Analyst (Permanent),Sydney NSW,BNP Paribas,
202,Senior Data Governance Analyst,Sydney NSW,Paxus,"$1,000 a day"
203,Security Analyst,Sydney NSW,2XM Technology Pty Ltd,"$80,000 - $120,000 a year"
204,Agile Business Analyst,Darlinghurst NSW,WooliesX,
205,Commercial Analyst,Mascot NSW,Avis Budget Group,
206,Forecast Analyst,Bella Vista NSW,Woolworths Group Limited,
207,Business Analyst - Data - Indirect Tax Automation (Maximum T...,Sydney NSW,Macquarie Group Limited,
