,Title,Summary,Location,Company,Salary
0,Data and Systems Analyst,"Help to implement effective knowledge management strategies for internal and external stakeholders, in relation to VET data and data management processes.",Hobart TAS,Tasmanian Government,"$83,651 - $87,792 a year"
1,Analyst,"Collecting relevant information, analysing data and correlating.The Analyst forms part of the Support Hub, also made up of Associate Analysts and Senior…",Hobart TAS,Rabobank,
2,Misconduct Prevention Project Officer/Analyst,"Undertake research, analysis and report on the Commission’s prevention intelligence and other relevant data, both locally and nationally, to assist in…",Hobart TAS,Tasmanian Government,"$83,651 - $87,792 a year"
3,Business Analyst,"Support and maintenance of data assets.Business Analyst working for Major Government Agency, Hobart Location, 4-month contract with view to extend.",Hobart TAS,HAYS,
4,ABA/ Behaviour Lead Therapist,"Analyse data to inform treatment decisions.If you are behaviour analyst (BCBA-D, BCBA, or BCaBA), allied health professional, psychologist, behavioural…",Glenorchy TAS,Leaps Ahead Early Intervention,"$70,000 - $85,000 a year"
5,Property Research Coordinator,Ripehouse Advisory is an exciting and growing business providing data driven investment research to Buyers’ Agents around the Country..What we can offer you.,Hobart TAS,Ripehouse Advisory,"$55,000 - $75,000 a year"
6,Business Analyst - Recoverable Damages (6 month contract),Experience in data analysis to draw business relevant conclusions.Who you'll be working with:TANDEM is a leading Australian company providing advisory and…,Hobart TAS,Tandem Corp,
7,SENIOR DATA ANALYST HUMAN RESOURCES,"Data mining, data modelling, statistical analysis, business intelligence gathering, trending and benchmarking tasks to provide data driven insights to key…",Brisbane QLD,Brisbane City Council,"$132,370 - $143,666 a year"
8,SENIOR DATA ANALYST PROCUREMENT,"Data mining, data modelling, statistical analysis, business intelligence gathering, trending and benchmarking tasks to provide data driven insights to key…",Brisbane QLD,Brisbane City Council,"$132,370 - $143,666 a year"
9,Data Analyst,Experience with target system data design advantageous.Demonstrated understanding of target system data design.As Domain Specialist to join our project team.,Brisbane QLD,Origin Energy,
10,Data Analyst,Integrity of data and reconciliation of accounts.Analyse data and reports to provide insights to the business.You will be required to;,Brisbane QLD,HUMANISED GROUP,
11,Data Analyst,"The successful appointee will have integrity with respect to research, an understanding of basic statistical techniques and online data collection, management…",Brisbane QLD,The University of Queensland,"$79,200 - $86,827 a year"
12,Data Analyst - Subsidiaries,"You will be need to be flexible and creative to ensure the best data is used in each situation and that data has been appropriately tested, validated and…",Brisbane QLD,CUA,
13,Graduate Research Analyst,Turn data into actionable insights and recommendations.Ensure data is accurate and of a high quality.Turn complex data in simple terms for different audiences…,Brisbane QLD,Canstar,
14,Data Analyst (1567BR),Maintain data systems as required.In this role you will be responsible for working closely with the broader team to provide technical expertise through data…,Brisbane QLD,Broad Construction,
15,IT / Data Architect,"My client, a leading Oil and Gas Recruitment Business (Global Footprint) has an opportunity for a Data Architecht Consultant (IT) to be situated in either Perth…",Brisbane QLD,Consulte,"$65,000 a year"
16,Graduate Geospatial Analyst,"We are technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as…",Brisbane QLD,WSP Australia,
17,IT System Analyst,"Experience in all aspects of data sourcing strategies and data validation approaches including data warehousing, data modelling, data mapping, data cleansing,…",Brisbane QLD,McCullough Robertson,
18,Research Analyst - Indonesia,"Ability of quantitative data processing, using statistical software (SPSS, R, STATA).The Research Analyst is expected to support the data management, writing…",Brisbane QLD,Abt JTA,
19,"Process Analyst, Office of the CIO, Division of Resources","Change activities, and complete process data.The Process Analyst will play a lead role in.Improvement outcomes in conjunction with.",Brisbane QLD,Queensland University of Technology,"$135,216 - $141,656 a year"
20,Financial Data Analyst,Manage financial data quality assurance and control for enterprise.It is the responsibility of the Financial Data Analyst to act as a data steward and…,Brisbane QLD,Queensland Treasury Corporation,
21,Data Scientist/Analyst – SAS,"As a Data Scientist you will design data stores, and build advanced data models to solve complex problems and generate sophisticated insights.",Brisbane QLD,Adaps,
22,Capital Markets Operations Analyst,"Advanced technology skills (i.e. advanced spread sheeting, high degree of familiarity with systems integration, relational databases and automated work-flow…",Brisbane QLD,QSuper Group,
23,Systems and Data Analyst/Developer,"Ensure that private, confidential, sensitive and Information Barrier (IB) data is appropriately secured.At MinterEllison we take pride in being our clients'…",Brisbane QLD,MinterEllison,
24,Graduate Business Intelligence Analyst,"Support innovation in data analytics to help influence data strategy to maximise business outcomes/impact.Collect, describe, organise, integrate and mine data…",Brisbane QLD,Canstar,
25,Operational Risk Analyst,"The ability to analyse and interpret financial and statistical data and present it in a logical manner, constituting useful business intelligence.",Newstead QLD,Bank of Queensland,
26,Customer Analyst,Creation of exception reporting to ensure accuracy data and reporting.Support the review of the Suncorp complaints processes and their interactions with…,Brisbane QLD,Suncorp Group,
27,Systems and Data Analyst - AML & Sanctions,"Defining data element requirements including history, timeliness and frequency of data.Formalising and implementing data verification and testing methods for…",Newstead QLD,Bank of Queensland,
28,Senior Systems and Data Analyst - AML & Sanctions,"Defining data element requirements including history, timeliness and frequency of data.Formalising and implementing data verification and testing methods for…",Newstead QLD,Bank of Queensland,
29,Commercial Analyst – Closure,"The Commercial Analyst will support the Commercial Manager with RTC portfolio and provision management, with collating RTC legacy asset provision data to assist…",Brisbane QLD,Rio Tinto,
30,Traffic Data Analyst,This is an exciting opportunity to join Brisbane City Council in their CBD offices as a data analyst focussing on traffic data in their infrastructure…,Brisbane QLD,PRA,"$52,000 - $55,000 a year"
31,Administration Assistant,Word processing and data entry.We are deliberate in the development of our team and will provide the guidance and support necessary to ensure that you quickly…,Brisbane QLD,BDO,
32,Business Intelligence Analyst,Drive innovation in data analytics and influence data strategy to maximise business outcomes/impact.Develop data analytics dashboards and reports for Canstar’s…,Brisbane QLD,Canstar,
33,Data Analyst,"The Data Analyst will support data driven decisions through the provision of data, insights and recommendations to stakeholders both within and outside the…",Brisbane QLD,Talent International,
34,Insights Reporting Analyst,"Analyse data and reports to provide insights to the business.Experience working on data integration projects developing, modifying and debugging reporting…",Brisbane QLD,HUMANISED GROUP,
35,Reporting Analyst / Reports Analyst / Data Cataloguer,This role is to create a data catalogue of the Customer Services data.Review existing data sources and reports.The role will initially be until June 2020.,Brisbane Central Business District QLD,Peoplebank,
36,PMO Analyst,Actively contribute to improvements in the currency and quality of program and project data across source systems.To be successful in this role you will need.,Brisbane QLD,Queensland Urban Utilities,"$115,000 a year"
37,Business Analyst,"Ability to collect and synthesise large quantities of quantitative and qualitative data, including; trends and the ability to develop recommendations based on…",Fortitude Valley QLD,RPS Group,
38,Reporting / Data Analyst,Significant experience undertaking professional data analysis/ data analytics activities as either standalone projects or sub components for projects.,Brisbane QLD,Talent International,
39,Data Analyst,"The Geoservices Field Data Analyst, manage and accountable for, monitoring the well, maintaining all Geoservices sensors, gas equipment and data acquisition…",Brisbane QLD,Fircroft,
40,Business Analyst,Please see Part 5 of our Privacy Policy for more details on this and how to contact Megaport's data protection officer if you have any further privacy-related…,Brisbane QLD,Megaport,
41,DATA / BI ANALYST,"Liaising with business users, business analysts and developers to ensure that solution meets functional and non-functional business requirements.",Brisbane QLD,ASG Group,
42,Function Controlling Analyst - Operation,"To be considered for this positon the successful candidate will have degree qualification in Finance with strong technical skills in financial modelling,…",Brisbane QLD,Airbus Group Australia Pacific,
43,Business Analyst,"Liaise with the Commercial Manager to prepare client data and market analysis.Support the budget process at regional level including project data, backlog…",Brisbane QLD,Aurecon Group,
44,Data and Applications Support Analyst,"Demonstrate effectiveness of practice through analysis of program data.Provide advice on the collection, collation, analysis, presentation and reporting of…",Brisbane QLD,Wellways Australia,
45,Motor Product Analyst,Sound numerical and analytical skills to monitor and interpret insurance portfolio data;Play a vital part in the design & development of new Motor products.,Toowong QLD,Auto & General Insurance,
46,Business Analyst,"Proficient in the use of MS Office applications, databases and data visualisation tools.Headquartered in Houston, Texas, ConocoPhillips had operations and…",Brisbane QLD,ConocoPhillips,
47,Senior Quantitative Analyst,Data mining skills to process and extract data from Datawarehouse.Primary Location - AU-QLD-Brisbane.Unposting Date - 29/Jan/2020.,Brisbane QLD,QSuper Group,
48,Data Modeller/Reports Analyst,Review existing data sources and reports.Design and build data models required to support reporting.You will be working with other members of the information…,Brisbane QLD,Talent International,$70 - $110 an hour
49,Customer Analyst,"Experience in the development of reports, dashboards, data models and other general data analytics tools;Manage and maintain data integrity across a number of…",Toowong QLD,Auto & General Insurance,
50,Asset Management Engineer,"Cardno’s Asset Strategies team consists of highly experienced engineers, scientists, financial consultants and analysts who have an extensive understanding of…",Brisbane QLD,Cardno,
51,"Process Automation Engineer (Appian), Office of the CIO, Div...",Collaborating with solution architects and.Process/business analysts and UX.Process analysts and process stakeholders.Process/business analysts and process.,Brisbane QLD,Queensland University of Technology,"$114,040 - $119,470 a year"
52,Reporting Analyst,"As part of the People Reporting and Insights team, you will collaborate closely with a team of experienced people data analysts/scientists.",Upper Brookfield QLD,Woolworths Group Limited,
53,Reporting/Data Analyst,"They are seeking an experienced Reporting & Data Analyst to undertake data analysis, define data problems and solutions, develop data analytic dashboards and…",Brisbane QLD,Chandler Macleod,
54,Data Analyst,"Design the data migration process including remediation of low-quality data, extract jobs (from multiple source systems), transformation processes and migration…",Carseldine QLD,Peoplebank,
55,Business Analyst,The role of Business Analyst acts as a key representative of the Information Technology organisation and has ownership of engagement and outcomes as part of a…,Brisbane QLD,BOEING,
56,Cyber Security Analyst,Perform initial analysis on collected security event data.My client is a specialist provider of network security and cyber security solutions.,Brisbane QLD,HUMANISED GROUP,
57,Specialist Platform Integration Business Analyst,"Be at the forefront of cloud-based, enterprise-scale data integration and analytics platform development.This role is responsible for ensuring data analytics…",Brisbane QLD,Rio Tinto,
58,Test Analyst,"Experience testing data migration and conversion processes (Data Verification testing).Our client, a global mining company, is looking for a Test Analyst for…",Brisbane QLD,Talent International,$90 - $100 an hour
59,Financial Crimes Officer,"This role is integral to the safety of our members and our business with a key focus on monitoring, detecting and remediating fraudulent activity, conducting…",Brisbane QLD,RACQ,
60,Senior Financial Crimes Analyst,"Defining data element requirements including history, timeliness and frequency of data.Formalising and implementing data verification and testing methods for…",Newstead QLD,Bank of Queensland,
61,Financial Analyst,Problem solving experience through statistical analysis or with large data sets.This will involve building financial models which will be used to present…,Brisbane QLD,Robert Half Australia,$45 an hour
62,Commercial Analyst,Assist with data and information to support Business Development opportunities.Knowledge of data mining tools such as Cognos TM1 would be an advantage.,Toowong QLD,Auto & General Insurance,
63,Program Improvement Analyst,"Working end-to-end with internal Program Leads, Service Delivery Teams, Systems Teams, business working groups and IT, as well as external Project Management…",Eight Mile Plains QLD,Woolworths Group,
64,BI Analyst,"We are looking for a BI Analyst to join a large food supply-chain company, based in the outer suburbs of Brisbane, where you'll play a vital role in delivering…",Brisbane QLD,Ambition,"$85,000 - $100,000 a year"
65,Senior Portfolio Analyst,Comfortable dealing with complex and large volumes of data.Excellent visualisation skills with experience in building and implementing data visualisation using…,Newstead QLD,Bank of Queensland,
66,Business Analyst / Technical Writer,Design and execute A/B testing procedures to extract data from test runs.A Technical Business Analyst / Technical Writer opportunity has just been created for…,Brisbane QLD,HUMANISED GROUP,
67,Senior Data Analytics Consultant,Aptitude for developing other less experienced analyst.A cloud-based analytics platform encompassing a wide range of data sources and analytical tools is…,Brisbane QLD,RACQ,
68,Business Analyst,"Assist stakeholders in facilitating process and data activities, including the validation of applicable data, systems and metrics;",Brisbane QLD,Aurizon,
69,Senior Business Analyst - Data Focus,"The ability to architect data models to surface data from various sources, presented through a corporate data warehouse.At Arq Group we create technology.",Brisbane QLD,ARQ Group,
70,Senior Business Analyst - Data,Data vault modelling initiative | Process analysis + data review.Experience developing reporting standards and practises for data collection.,Brisbane QLD,Hudson,$100 - $106 an hour
71,Commercial Analyst - Manufacturing,Manipulating large data and building complex financial models.Exciting role to support senior leadership teams in Australia and regionally.,Brisbane QLD,Michael Page,"$100,000 - $125,000 a year"
72,Commercial Analyst,"Comfortable with working with large data sets.If you are an up and coming accountant who wants to venture into the commercial finance space, then this role…",Brisbane QLD,Travel Trade Recruitment,"$65,000 - $75,000 a year"
73,Senior Data Analyst,"Demonstrated experience in trend and data analysis, especially in data rich environments.Demonstrated experience with various data warehouse support and…",Brisbane QLD,Ignite Specialist Recruitment Services,
74,Business Analyst Claims,Previous experience as a reporting analyst/business analyst role within an insurance or claims environment is highly desirable.Who we’re looking for.,Eight Mile Plains QLD,Woolworths Group,
75,Senior Research Analyst,"Supportive, small and fun team.Opportunities for learning and development.Construction Skills Queensland (CSQ) leads the industry's thinking about the…",Brisbane QLD,Peoplebank,
76,Mudlogger Analyst,"The Geoservices Field Data Analyst, manage and accountable for, monitoring the well, maintaining all Geoservices sensors, gas equipment and data acquisition…",Brisbane QLD,Fircroft,
77,BI – Reporting Analyst/Developer,Experience in data visualisation tools such as TiBCO Spotfire Analytics;Note: 457/482 Visa Candidates are also considered.Experience with Microsoft Power Bi.,Brisbane QLD,Adaps,
