,Title,Summary,Location,Company,Salary
0,Data Engineer,"The data engineer has a crucial role realizing our new platform for data and information management.Data infrastructure : Logical and physical data modelling,…",België,Experis Belgium,
1,Oracle Cloud HCM Consultant,Experience in Business Intelligence and Reporting tools and data warehousing is a plus;You also have a good understanding of the underlying business processes…,België,Accenture,
2,Gaming1 - Back End Software Engineer,"A degree in computer science or equivalent.With the role of Senior developer engineer freelance, your main tasks will be to:Send you CV via the button below.",Bierset,Gaming1,
3,Business Analyst Data,The role of the Business Analyst Data is to translate business needs into concrete functional requirements and support the data analysts and data engineers in…,Luik (provincie),Ethias,
4,Internal Sales Engineer,"Our company was founded in 1989 by a team of innovative engineers who specialized in.Collect technical information (technical data sheets, drawings, lay-out)…",Grâce-Hollogne,KINOLT,
5,ANALYTICS PROJECT ENGINEER (H/F),Identify further improvement opportunities through workshop sessions with client staff (engineers and operators).Training and coaching of clients.,Luik (stad),PEPITE,
6,Senior Cisco Voice Engineer,Understands global and domestic personnel communications security and is pro-active in ensuring data privacy and compliance.What do we expect from you?,Herstal,Proximus SpearIT,
7,Senior Process Engineer - Plastics / Masterbatch Industry,Lead the technical process of the industrialization of new polymer products - from laboratory to plant production.Minimum 25% travel (Canada - East Coast).,Pepinster,Cabot Corporation,
8,Transformateur des données – IT Application Engineer,Passionné de systèmes informatiques lié à l’Automatisation et au Data Management ?Doué dans la gestion des processus industriels ?,Herstal,Actemium,
9,Marine Surveyor,"Scientists, hydrographers, biologists and electronic engineers providing efficient and innovative solutions for.You have a good knowledge of English.",Milmort,G-tec,
10,Full Stack Software Engineer H/F,Vous avez un master en IT avec une expérience en Telecom ou une forte envie de vous plonger dans ce domaine OU vous êtes ingénieur en telecom avec la volonté de…,Ans,VOO,
11,Industrial/Process Engineer (Planning and Engineering Depart...,The full Job offer is on our Website: www.tnt.com/tntliege.Context and Purpose of the job.The TNT Euro Hub located at Liege Airport is one of the main TNT…,Luik (stad),TNT Express Worldwide,
12,INTERNAL SALES ENGINEER (H/F),"Collect technical information (technical data sheets, drawings, lay-out) from technical department and suppliers to provide a complete and comprehensive…",Luik (provincie),LUXEMBOURG ENGINEERING AND APPLICATION SERVICES SA,
13,Validation Engineer,Collect and prepare data to prepare validation reports.Are you interested in working in a pharmaceutical industry ?Are you rigorous and methodical ?,Verviers,Experis Belgium,
14,Senior Identity and Access Management Engineer,"TIO stands for Technology Information Operations, the beating heart of our data-driven organization.We dare to opt for change and trend-setting innovations in…",België,Telenet,
15,Senior Identity and Access Management Engineer,"TIO stands for Technology Information Operations, the beating heart of our data-driven organization.We dare to opt for change and trend-setting innovations in…",België,Telenet,
16,Oracle Cloud HCM Consultant,Experience in Business Intelligence and Reporting tools and data warehousing is a plus;You also have a good understanding of the underlying business processes…,België,Accenture,
17,Regional Financial Controller,Comfortable working with ERP systems & data information.Our company was founded in 1989 by a team of innovative engineers who specialized in.,Grâce-Hollogne,KINOLT,
18,Responsable Qualité (H/F),"En tant que Consultant Responsable qualité, vous intégrerez la Business Unit de Geoffrey NIZET - Experienced Business Manager - qui se compose de process…",Luik (stad),Modis,
19,2D AND 3D SOFTWARE ENGINEER,"Experience in computational geometry and 3D data processing is an asset.PhD or master degree in computer science, electronics engineering, or equivalent.",Angleur,Euresys,
20,Développeur C++,Gestion intelligente des contenus : data analytics.Notre société est une société innovante d’ingénierie dans laquelle nous avons créé NODEUM - www.nodeum.io .,Luik (stad),MT-C,
21,"Control Engineers - Barcelona, Spain",We are looking for someone capable of identifying relevant control approaches tailored to specific applications and based on existing field data.,Spa,DIS,
22,Stage : Artificial Intelligence,"Vous êtes étudiant en data science, informatique, ingénieur civil, physique, mathématiques, ingénieur commercial à la recherche d'un stage/TFE en industrie.",Luik (stad),NRB,
23,QA Administrator,"Two years quality assurance experience and / or two years experience of working in the contact lens industry (manufacturing or distribution center), or QA…",Luik (stad),CooperVision,
24,AUTOMATION ENGINEER-TRANSFORMATEUR DES DONNEES HISTORIENNES,"Bachelier ou Master en informatique industrielle ou en sciences industrielles.Actemium Belgique, marque de VINCI Energies, est leader dans la fourniture de…",Herstal,Actemium,
25,"2 Ingénieurs industriels ""Techniques spéciales"" (H/F/X) SPA","D’un diplôme de l’enseignement supérieur de type long : ingénieur industriel section.Placé sous la responsabilité d’un Directeur, l’ingénieur (H/F/X) prend des…",Spa,Fédération Wallonie Bruxelles - Service général de...,
26,Internal Sales Engineer,"Collect technical information (technical data sheets, drawings, lay-out) from technical department and suppliers to provide a complete and comprehensive…",Luik (stad),Modis,
27,Gaming1 - Back End Software Engineer,"A degree in computer science or equivalent.With the role of Senior developer engineer freelance, your main tasks will be to:Send you CV via the button below.",Bierset,Gaming1,
28,Validation Engineer,Collect and prepare data to prepare validation reports.Are you interested in working in a pharmaceutical industry ?Are you rigorous and methodical ?,Verviers,Experis Belgium,
29,Data Engineer,"The data engineer has a crucial role realizing our new platform for data and information management.Data infrastructure : Logical and physical data modelling,…",België,Experis Belgium,
30,Senior Identity and Access Management Engineer,"TIO stands for Technology Information Operations, the beating heart of our data-driven organization.We dare to opt for change and trend-setting innovations in…",België,Telenet,
31,Oracle Cloud HCM Consultant,Experience in Business Intelligence and Reporting tools and data warehousing is a plus;You also have a good understanding of the underlying business processes…,België,Accenture,
32,Gaming1 - Back End Software Engineer,"A degree in computer science or equivalent.With the role of Senior developer engineer freelance, your main tasks will be to:Send you CV via the button below.",Bierset,Gaming1,
33,Ingénieur en maintenance (H/F),"Bachelier ou ingénieur civil/ industriel électromécanique.En tant que Consultant Ingénieur en maintenance (H/F), vous intégrerez la Business Unit de Geoffrey…",Luik (stad),Modis,
34,VISION SOFTWARE ENGINEER,"Experience in computational geometry, machine learning and 3D data processing is a strong asset.PhD or master’s degree in computer science, electronics…",Luik (stad),Profile Group,
35,Full-Stack Software Engineer,Engineering or master’s degree in computer science with at least 8 years’ experience.Our nutrition management tools and connected products integrate automatic…,Luik (stad),PaHRtners,
36,SALES & PROJECT ENGINEER CLINICAL IT (M/F),You ensure a backup solution for the data.Analis sa (www.analis.be) is a Belgian company located in Namur (Suarlée) with a branch office in Gent.,Hannuit,Analis,
37,Validation Engineer,Collect and prepare data to prepare validation reports.Are you interested in working in a pharmaceutical industry ?Are you rigorous and methodical ?,Verviers,Experis Belgium,
38,Ingénieur validation,Collect and prepare data to prepare validation reports 5.Cycle programming and preparation of necessary process documents and safety assessments ?…,Verviers,Accent,
39,Senior Solution Architect,The Data Activity Manager constitutes the only custom-made data governance and data quality solution ensuring automated governance.,Luik (stad),Kensu Inc.,
40,Ingénieur Automation et instrumentation senior (H/F),"Pour notre client Safran Aero Boosters (sous division Test Cells), nous sommes à la recherche d'un Ingénieur Automation et Instrumentation (électricité et…",Luik (stad),PN Group - HR,
