,Title,Location,Company,Salary
0,Systems Analyst II (Data Importer) - TELUS Health,"Quebec City, QC",TELUS Communications,
1,Analyst Sales Planning Canada,"Quebec City, QC",Advantage Solutions,
2,Solutions Architect and Business Analyst,"Quebec City, QC",Korem,
3,BUSINESS ANALYST,"Quebec City, QC",KIWI Technologies,
4,Intellimatch Support Analyst,"Quebec City, QC",Planaxis,
5,BI Research & Innovation Analyst II,"Quebec City, QC",The Co-operators,
6,.NET Analyst Developer,"Quebec City, QC",BELL BUSINESS MARKETS,
7,Analytics & Data Science Associate - Undergraduate Level - M...,"Quebec City, QC",TD,
8,"Financing Specialist, Commercial Financial Services","Quebec City, QC",RBC,
9,"Senior Analyst, Actuarial (Quebec City)","Quebec City, QC",Intact,
10,Systems Analyst II (Data Importer) - TELUS Health,"Quebec City, QC",TELUS Communications,
11,Analyst Sales Planning Canada,"Quebec City, QC",Advantage Solutions,
12,Solutions Architect and Business Analyst,"Quebec City, QC",Korem,
13,BUSINESS ANALYST,"Quebec City, QC",KIWI Technologies,
14,Intellimatch Support Analyst,"Quebec City, QC",Planaxis,
15,BI Research & Innovation Analyst II,"Quebec City, QC",The Co-operators,
16,.NET Analyst Developer,"Quebec City, QC",BELL BUSINESS MARKETS,
17,Analytics & Data Science Associate - Undergraduate Level - M...,"Quebec City, QC",TD,
18,"Financing Specialist, Commercial Financial Services","Quebec City, QC",RBC,
19,"Senior Analyst, Actuarial (Quebec City)","Quebec City, QC",Intact,
20,Systems Analyst II (Data Importer) - TELUS Health,"Quebec City, QC",TELUS Communications,
21,Analyst Sales Planning Canada,"Quebec City, QC",Advantage Solutions,
22,Solutions Architect and Business Analyst,"Quebec City, QC",Korem,
23,BUSINESS ANALYST,"Quebec City, QC",KIWI Technologies,
24,Intellimatch Support Analyst,"Quebec City, QC",Planaxis,
25,BI Research & Innovation Analyst II,"Quebec City, QC",The Co-operators,
26,.NET Analyst Developer,"Quebec City, QC",BELL BUSINESS MARKETS,
27,Analytics & Data Science Associate - Undergraduate Level - M...,"Quebec City, QC",TD,
28,"Financing Specialist, Commercial Financial Services","Quebec City, QC",RBC,
29,"Senior Analyst, Actuarial (Quebec City)","Quebec City, QC",Intact,
30,Data Analyst,"Montréal, QC","Via Science, Inc.",
31,Market Research Analyst,"Montréal, QC",DRW Trading Group,
32,Data Analyst,"Montréal, QC",Behaviour Interactive,
33,Data Loss Prevention Analyst 3138075,"Montréal, QC",Morgan Stanley,"$85,000 - $100,000 a year"
34,"Junior Analyst, Consumer Insights","Montréal, QC",Aldo Groupe,
35,Data Analyst – Personal Plan Squad,"Montréal, QC",Manulife,
36,Business Analyst II,"Montréal, QC",TELUS Communications,
37,Senior Data Analyst - Growth,"Montréal, QC",Hopper,
38,Analyst Employee Relations,"Montréal, QC",Canada Post - Postes Canada,
39,Finance Analyst - Unit Cost,"Dorval, QC",Bombardier,
40,Data Analyst,"Montréal, QC","Via Science, Inc.",
41,Market Research Analyst,"Montréal, QC",DRW Trading Group,
42,Data Analyst,"Montréal, QC",Behaviour Interactive,
43,Data Loss Prevention Analyst 3138075,"Montréal, QC",Morgan Stanley,"$85,000 - $100,000 a year"
44,"Junior Analyst, Consumer Insights","Montréal, QC",Aldo Groupe,
45,Data Analyst – Personal Plan Squad,"Montréal, QC",Manulife,
46,Business Analyst II,"Montréal, QC",TELUS Communications,
47,Senior Data Analyst - Growth,"Montréal, QC",Hopper,
48,Analyst Employee Relations,"Montréal, QC",Canada Post - Postes Canada,
49,Finance Analyst - Unit Cost,"Dorval, QC",Bombardier,
50,Data Analyst,"Montréal, QC","Via Science, Inc.",
51,Market Research Analyst,"Montréal, QC",DRW Trading Group,
52,Data Analyst,"Montréal, QC",Behaviour Interactive,
53,Data Loss Prevention Analyst 3138075,"Montréal, QC",Morgan Stanley,"$85,000 - $100,000 a year"
54,"Junior Analyst, Consumer Insights","Montréal, QC",Aldo Groupe,
55,Data Analyst – Personal Plan Squad,"Montréal, QC",Manulife,
56,Business Analyst II,"Montréal, QC",TELUS Communications,
57,Senior Data Analyst - Growth,"Montréal, QC",Hopper,
58,Analyst Employee Relations,"Montréal, QC",Canada Post - Postes Canada,
59,Finance Analyst - Unit Cost,"Dorval, QC",Bombardier,
60,Data Analyst,"Montréal, QC","Via Science, Inc.",
61,Market Research Analyst,"Montréal, QC",DRW Trading Group,
62,Data Analyst,"Montréal, QC",Behaviour Interactive,
63,Data Loss Prevention Analyst 3138075,"Montréal, QC",Morgan Stanley,"$85,000 - $100,000 a year"
64,"Junior Analyst, Consumer Insights","Montréal, QC",Aldo Groupe,
65,Data Analyst – Personal Plan Squad,"Montréal, QC",Manulife,
66,Business Analyst II,"Montréal, QC",TELUS Communications,
67,Senior Data Analyst - Growth,"Montréal, QC",Hopper,
68,Analyst Employee Relations,"Montréal, QC",Canada Post - Postes Canada,
69,Finance Analyst - Unit Cost,"Dorval, QC",Bombardier,
70,Data Analyst,"Montréal, QC","Via Science, Inc.",
71,Market Research Analyst,"Montréal, QC",DRW Trading Group,
