,Title,Summary,Location,Company,Salary
0,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
1,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
2,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
3,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
4,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
5,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
6,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
7,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
8,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
9,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
10,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
11,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
12,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
13,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
14,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
15,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
16,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
17,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
18,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
19,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
20,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
21,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
22,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
23,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
24,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
25,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
26,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
27,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
28,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
29,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
30,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
31,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
32,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
33,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
34,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
35,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
36,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
37,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
38,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
39,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
40,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
41,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
42,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
43,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
44,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
45,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
46,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
47,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
48,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
49,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
50,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
51,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
52,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
53,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
54,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
55,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
56,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
57,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
58,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
59,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
60,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
61,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
62,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
63,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
64,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
65,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
66,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
67,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
