,Title,Location,Company,Salary
0,"Consultant, Digital Science | Forensic Litigation Consulting",,"FTI Consulting, Inc.",
1,"Product Manager, BI & Data Analytics",,Verizon,
2,Senior Strategist - Client Success,,Indeed,"€60,000 - €85,000 a year"
3,Finance Assistant,,Food+ by Compass Group,"€32,500 a year"
4,Research Intern,"Saggart, County Dublin",Xilinx,
5,Research Intern 2020,Dublin,IBM,
6,Bell Labs Research Intern,Dublin,NOKIA,
7,Junior Engineer,"Leixlip, County Kildare",Intel,
8,Manager - Data Science,Dublin,PayPal,
9,Production Operator,"Arklow, County Wicklow",Merck KGaA,
10,2020 Production Engineer Intern,Dublin,Facebook,
11,Lead Data Science Engineer,Dublin,Sojern,
12,Senior Data Science Engineer,Dublin,Sojern,
13,Data Engineer,Dublin,Web Summit,
14,Verizon Connect Grad Program,,Verizon,
15,Senior Strategist - Client Success,,Indeed,"€60,000 - €85,000 a year"
16,Lead Data Scientist,,Bank of Ireland,
17,Junior Digital Copywriter,Dublin,Web Summit,
18,Manager Data Science,Dublin,RELX Group,
19,NLP Data Scientist,Dublin,IT Search,
20,Data Modeller,"Mullingar, County Westmeath",Eolas Recruitment,
21,Data Scientist,Dublin,Hewlett Packard Enterprise,
22,Data Science Manager,Dublin,Sojern,
23,Scientist - Clinical Evaluation,"Bray, County Wicklow",Oriflame,
24,Digital Copywriter,Dublin,Web Summit,
25,Internship Opportunities in Europe for Students (Multiple Lo...,Dublin,Microsoft,
26,Pricing analyst(Graduate),"South Dublin, County Dublin",Barden FS,"€36,000 - €40,000 a year"
27,On-line Data Services Co-ordinator,,"EUMETSAT, based in Darmstadt, Germany","€132,600 a year"
28,Finance Assistant,,Food+ by Compass Group,"€32,500 a year"
29,"Consultant, Digital Science | Forensic Litigation Consulting",,"FTI Consulting, Inc.",
30,"Product Manager, BI & Data Analytics",,Verizon,
31,Verizon Connect Grad Program,,Verizon,
32,Senior Strategist - Client Success,,Indeed,"€60,000 - €85,000 a year"
33,On-line Data Services Co-ordinator,,"EUMETSAT, based in Darmstadt, Germany","€132,600 a year"
34,Junior Office Administrator,Kildare,Mercury Engineering,
35,DATA ENTRY OFFICER / SAMPLE REGISTRATION OFFICE,Dublin,Eurofins Ireland Clinical Diagnostics,
36,Research & Development Technician,"Naas, County Kildare",Enfer Scientific,€12 an hour
37,Data Scientist/Software Developer,Dublin,IBM,
38,Studio Data Science Innovator,Dublin,Accenture,
39,Data Scientist,"Sandyford, County Dublin",Truata,
40,"Strategic Negotiator, Data Center",Dublin,Google,
41,Junior Market Data Engineer,Dublin,"Susquehanna International Group, LLP",
42,Medical Laboratory Aide - NCC 48242-19,"South Dublin, County Dublin",St. James's Hospital,
43,Data Scientist,"South Dublin, County Dublin",Cartrawler,
44,Lead Data Scientist,,Bank of Ireland,
45,Finance Assistant,,Food+ by Compass Group,"€32,500 a year"
46,"Consultant, Digital Science | Forensic Litigation Consulting",,"FTI Consulting, Inc.",
47,"Product Manager, BI & Data Analytics",,Verizon,
48,Verizon Connect Grad Program,,Verizon,
49,Finance Assistant,,Food+ by Compass Group,"€32,500 a year"
50,On-line Data Services Co-ordinator,,"EUMETSAT, based in Darmstadt, Germany","€132,600 a year"
51,Lead Data Scientist,,Bank of Ireland,
52,General Operatives (Various Locations),Dublin,Mercury Engineering,
53,Senior Data Scientist,Dublin,Eaton,
54,Service Administrator,"Rathcoole, County Dublin",Manepa Medical,
55,Data Scientist - The Dock,Dublin,Accenture,
56,Oracle PL/SQL Developer,"Port Laoise, County Laois",Version 1,
57,Data Engineer - Merchant Operations,Dublin,Zalando,
58,"Data Engineer, Analytics",Dublin,Facebook,
59,Full Time Opportunities for Students and Recent Graduates in...,Dublin,Microsoft,
60,Data Center Technician,Dublin,Microsoft,
61,Data Analyst,Dublin,Critical Path Institute - Ireland,
62,Senior Strategist - Client Success,,Indeed,"€60,000 - €85,000 a year"
63,Verizon Connect Grad Program,,Verizon,
64,"Product Manager, BI & Data Analytics",,Verizon,
65,"Consultant, Digital Science | Forensic Litigation Consulting",,"FTI Consulting, Inc.",
66,"Consultant, Digital Science | Forensic Litigation Consulting",,"FTI Consulting, Inc.",
67,Data Scientist,Dublin,IBM,
68,Data Science Manager,Dublin,TFG Co,
69,Grade V - Applications Analyst 48283-19,"South Dublin, County Dublin",St. James's Hospital,"€42,773 - €51,375 a year"
70,Intern GIS Analyst,Dublin,Jacobs,
