,Title,Location,Company,Salary
0,Energy Analyst (Fixed Term),"Dunedin, Otago",University of Otago,
1,"Analyst - Strategy, Analytics & Reporting","Dunedin, Otago",University of Otago,
2,Senior Analyst - Project Management Office,"Dunedin, Otago",University of Otago,
3,"Senior Analyst - Strategy, Analytics & Reporting","Dunedin, Otago",University of Otago,
4,Energy Analyst,"Christchurch, Canterbury",Christchurch City Council,
5,Commercial analyst,"Christchurch, Canterbury",Ryman Healthcare,
6,Mechanical Engineer - Thermal Structural Analyst,"Christchurch, Canterbury",Enphase Energy,
7,Facilities Planning Support Officer,"Christchurch, Canterbury",Christchurch City Council,
8,Senior Consultant,"Christchurch, Canterbury",Sheffield,
9,Master Data Analyst,"Christchurch, Canterbury",Canterbury District Health Board,
10,Return to top IT Job List,"Christchurch, Canterbury",Sunstone Talent,
11,Service Desk Analyst - Interactive,"Christchurch, Canterbury",Datacom,
12,SAP BW on HANA / BI Architect,"Christchurch, Canterbury",Morgan Campbell,
13,Product Owner,"Christchurch, Canterbury",Seequent,
14,Data Analyst (superconnector),"Auckland City, Auckland",New Zealand Government,
15,Data Analyst (Superconnector),"Auckland City, Auckland",Callaghan Innovation,
16,Survey Analyst,"Auckland City, Auckland",Auckland University of Technology,
17,Senior Data Analyst,"Auckland City, Auckland",iVise Solutions,
18,Job Analyst,"Auckland City, Auckland",New Zealand Government,
19,Procurement Analyst Intern,"Auckland City, Auckland",HelloFresh,
20,Job Analyst,"Devonport, Auckland",New Zealand Defence Force,
21,Survey Analyst,"Auckland CBD, Auckland",AUT University,
22,Forensic Discovery Analyst,"Auckland City, Auckland",Deloitte,
23,Design Analyst,"Auckland City, Auckland",Statistics New Zealand,
24,Produce and Butchery Optimisation Analyst,"Mangere, Auckland",Foodstuffs North Island,
25,Senior Data Analyst,"Auckland City, 1010",Equifax,
26,Data Insight Analyst,"Auckland City, Auckland",Potentia,
27,Service Desk Analyst,"Auckland City, Auckland",NZ Ministry of Education,
28,Data Analyst,"Auckland City, Auckland",Salt Recruitment,
29,Workforce Planning Analyst,"Auckland City, Auckland",PlaceMakers,
30,Risk Analyst - Modelling,"Auckland City, Auckland",Westpac,
31,RISK ANALYST - CBD,"Auckland City, Auckland",Drake New Zealand,
32,Graduate Business Analyst,"Auckland City, Auckland",Bravura Solutions,
33,Service Desk Analyst,"Auckland City, Auckland",New Zealand Government,
34,Analyst Risk,"Auckland City, Auckland",IAG New Zealand,
35,Promotions Analyst,"Mount Roskill, Auckland",Foodstuffs North Island,
36,Business Insights Analyst,"Auckland City, 1021",Countdown NZ Supermarkets,
37,Quality Control Analyst - 2nd Shift,"Auckland City, Auckland",Boehringer Ingelheim,
38,Data Reporting Analyst,"Auckland City, Auckland",OCG,
39,Intelligence Specialist,"Auckland City, Auckland",NZ Air Force,
40,Service Desk Analyst,"Auckland City, Auckland",Ministry of Education NZ,
41,Test Analyst,"Auckland City, Auckland",2degrees Mobile Limited,
42,Product Insights Analyst,"Auckland City, Auckland",Xero,
43,Reporting & Insights Analyst,"Auckland City, Auckland",Xero,
44,Systems Analyst (Netsuite focus),Auckland,Orion Health,
45,Performance Analyst,"Auckland City, Auckland",Qantas Airways Limited,
46,Commercial Analyst (Sales & Marketing),"Auckland City, Auckland",JACOBS DOUWE EGBERTS,
47,P&C Support and Systems Analyst,"Auckland City, Auckland",Genesis Energy NZ,
48,Associate Developer,"Auckland City, Auckland",Bravura Solutions,
49,Senior Finance Analyst,"Mangere East, 2024",Countdown NZ Supermarkets,
50,Data Analyst Credit,"Auckland City, Auckland",Salt Recruitment,
51,GEOINT Analyst Team Leader,"Auckland City, Auckland",New Zealand Government,
52,Business Analyst,"Auckland City, 1021",Countdown NZ Supermarkets,
53,Senior SAS Data Analyst- DW/Modelling,"Auckland City, Auckland",Potentia,
54,Senior Business Intelligence Analyst,"Auckland City, Auckland",Fonterra,
55,Senior Analyst - Strategy & Portfolio,"Auckland City, Auckland",Corporate Finance,
56,BA / Data Analyst,"Auckland City, Auckland",Potentia,
57,Senior Business Analyst,"Auckland City, Auckland",Kiwibank,
58,Strategic Planning Manager,"Auckland City, Auckland",The University of Auckland,
59,Data Analyst (Supply Chain Focused),"Auckland City, Auckland",Salt Recruitment,
60,Senior Data Analyst- Pricing,"Auckland City, Auckland",Salt Recruitment,
