,Title,Location,Company,Salary
0,ChemLab Supervisor,"Port Elizabeth, Eastern Cape",Fresenius Kabi Manufacturing SA (Pty) Ltd,
1,Relationship Analyst,"Port Elizabeth, Eastern Cape",FirstRand,
2,Data Analyst,"Port Elizabeth, Eastern Cape",Hire Resolve,R440 000 - R540 000 a year
3,Client Portfolio Analyst,"Bloemfontein, Free State",FirstRand,
4,Project Management Analyst,"Bloemfontein, Free State",IQVIA,
5,Sr Clinical Data Analyst - South Africa,"Bloemfontein, Free State",Syneos Health Clinical,
6,Analyst,"Bloemfontein, Free State",University of the Free State,
7,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
8,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
9,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
10,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
11,Business Analyst,"Midrand, Gauteng",DBSA,
12,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
13,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
14,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
15,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
16,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
17,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
18,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
19,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
20,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
21,Business Analyst,"Midrand, Gauteng",DBSA,
22,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
23,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
24,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
25,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
26,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
27,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
28,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
29,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
30,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
31,Business Analyst,"Midrand, Gauteng",DBSA,
32,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
33,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
