,Title,Summary,Location,Company,Salary
0,Junior Data Analyst,Design & Management of Reports and data for the distribution area.Ability to analyse data for reporting purpose and analyse trends.,"Johannesburg, Gauteng",Moving Heads Personnel CC,
1,Junior SQL Data Analyst,"Design and execute exception reports to establish data and system integrity.Draft, extract and analyse data into information report as per business…","Johannesburg, Gauteng",African Bank,
2,Junior Data Analyst,"Acquire data from primary or secondary data sources and maintain databases/data systems.Develop and implement databases, data collection systems, data…","Parktown, Gauteng",Rand Mutual Holding (Pty) Ltd,
3,Mid-level Market Analyst,"Conduct competitive research and analyze benchmarking data.To be successful in this role, you should have experience with campaign measurement tools and be…","Randburg, Gauteng",,
4,IT Graduate/Data Engineer/Analyst (SQL/QlikView),Present information using data visualization techniques (such as QlikView).This is an exciting opportunity for a highly analytical person with a knack for…,"Johannesburg, Gauteng",Fourier Recruitment,R180 000 - R240 000 a year
5,Data Analyst C,"To provide expertise and support through translating business needs into long-term architecture solutions by analysing data, conducting root cause analysis, and…","Johannesburg, Gauteng",FirstRand,
6,Shopper Execution Analyst,"The ability to analyse, model and interpret data.Compiling of multiple set of excel data into a consolidated report.Lead and Manage POS requirements.","Johannesburg, Gauteng",PepsiCo,
7,Service Desk Analyst,"Provide data and statistics for reporting purposes from the service desk on request.To ensure that the identification, logging, resolution of desktop and…","Johannesburg, Gauteng",Altron,
8,Data Engineer,Build infrastructure to automate extremely high volumes of data delivery and creatively solve data volume and scaling challenges.,"Johannesburg, Gauteng",FirstRand,
9,Data Analyst,"Assist with testing of new data feeds and functions.Experience working with text, XML and other data formats.This could be the role for you!","Johannesburg, Gauteng",IRESS Limited,
10,Junior Data Analyst,Design & Management of Reports and data for the distribution area.Ability to analyse data for reporting purpose and analyse trends.,"Johannesburg, Gauteng",Moving Heads Personnel CC,
11,Junior SQL Data Analyst,"Design and execute exception reports to establish data and system integrity.Draft, extract and analyse data into information report as per business…","Johannesburg, Gauteng",African Bank,
12,Junior Data Analyst,"Acquire data from primary or secondary data sources and maintain databases/data systems.Develop and implement databases, data collection systems, data…","Parktown, Gauteng",Rand Mutual Holding (Pty) Ltd,
13,Mid-level Market Analyst,"Conduct competitive research and analyze benchmarking data.To be successful in this role, you should have experience with campaign measurement tools and be…","Randburg, Gauteng",,
14,IT Graduate/Data Engineer/Analyst (SQL/QlikView),Present information using data visualization techniques (such as QlikView).This is an exciting opportunity for a highly analytical person with a knack for…,"Johannesburg, Gauteng",Fourier Recruitment,R180 000 - R240 000 a year
15,Data Analyst C,"To provide expertise and support through translating business needs into long-term architecture solutions by analysing data, conducting root cause analysis, and…","Johannesburg, Gauteng",FirstRand,
16,Shopper Execution Analyst,"The ability to analyse, model and interpret data.Compiling of multiple set of excel data into a consolidated report.Lead and Manage POS requirements.","Johannesburg, Gauteng",PepsiCo,
17,Service Desk Analyst,"Provide data and statistics for reporting purposes from the service desk on request.To ensure that the identification, logging, resolution of desktop and…","Johannesburg, Gauteng",Altron,
18,Data Engineer,Build infrastructure to automate extremely high volumes of data delivery and creatively solve data volume and scaling challenges.,"Johannesburg, Gauteng",FirstRand,
19,Data Analyst,"Assist with testing of new data feeds and functions.Experience working with text, XML and other data formats.This could be the role for you!","Johannesburg, Gauteng",IRESS Limited,
20,Junior Data Analyst,Design & Management of Reports and data for the distribution area.Ability to analyse data for reporting purpose and analyse trends.,"Johannesburg, Gauteng",Moving Heads Personnel CC,
21,Junior SQL Data Analyst,"Design and execute exception reports to establish data and system integrity.Draft, extract and analyse data into information report as per business…","Johannesburg, Gauteng",African Bank,
