,Title,Location,Company,Salary
0,Data Architect,Singapore,ST Electronics (Info-Software Systems) Pte Ltd,
1,Azendian - Data Engineer Role,Singapore,TechSkills Accelerator,
2,Big Data Engineer,Central Singapore,Siemens AG,
3,IOT Architect - Engineering X.0,Singapore,Accenture,
4,Data Architect,Singapore,Enggsol Pte Ltd,
5,Data Engineer (Data Ingestion),Singapore,Traveloka,
6,Data Architect,Singapore,NCS,
7,Azendian - Information Management Role (Microstrategy Archit...,Singapore,TechSkills Accelerator,
8,Senior Software Engineer (Data Science),Singapore,Micron,
9,Data Architect,Singapore,percept-solutions,"$10,000 - $15,000 a month"
10,Data Architect (Vietnam),Singapore,Thakral One Solutions Private Limited,
11,Informatica Architect,Singapore,Amaris,
12,Senior Data Architect / Data Architect,Singapore,SINGAPORE ZOOLOGICAL GARDENS,"$7,000 - $8,500 a month"
13,Architect Business Intellligence & Data Analytics,Singapore,CA CIB Singapour,
14,Software Engineer Architect - Payments (Fintech),Singapore,Traveloka,
15,IOT Architect - Digital Manufacturing,Singapore,Accenture,
16,"Analyst, Data Management and Business Intelligence",Singapore,Marina Bay Sands,
17,UI/UX Engineer for AI Singapore,Queenstown,National University of Singapore,
18,Data Engineer (Data Architect),Singapore,JTC Corporation,
19,BTO - Data Engineer,Singapore,Singtel,
20,Fab10 Data Science Engineer,Singapore,Micron,
21,InfoSec Architect,Singapore,Allianz Asia Pacific,
22,Azendian - Senior Data Engineer Role (Enable Data Access & U...,Singapore,TechSkills Accelerator,
23,"Data Architect, Enterprise Architecture",Singapore,Sciente Consulting Pte. Ltd,
24,Data Analyst,Singapore,OCBC Bank,
25,Data Analytics Solution Architect,Singapore,NCS,
26,Data Center Operations Manager,Singapore,Oracle,
27,Solution Architect,Singapore,DOLPHIN ASSOCIATES PTE. LTD.,"$7,000 - $11,000 a month"
28,Hull Performance Analyst,Singapore,Hempel,
29,Cloud Infrastructure Architect/ Engineer,Singapore,Government Technology Agency,
30,Business Analyst (Data Modelling),Singapore,Snaphunt Pte Ltd,
31,"Principal Architect / Distinguished Engineer, Mobility & Cor...",Singapore,Grab Taxi,
32,Big Data Architect,Singapore,Sciente Consulting Pte. Ltd,
33,Data Architect,Singapore,Sciente International Pte Ltd,
34,Data Center Solution Architect,Outram,Tranglobe Solutions Pte Ltd,
35,"Principal Specialist, Data Science",Singapore,Morgan McKinley,"$10,000 - $14,000 a month"
36,Big Data Architect,Singapore,IBM,
37,"Customer Engineer, Data Analytics Specialist, Google Cloud",Singapore,Google,
38,Bigdata Architect,Singapore,Cognizant,
39,Analytics Architect,Singapore,Attribute Data Pte. Ltd.,
40,"AVP/VP, Data Architect",Singapore,GIC Investment,
41,Country Consulting Head - Singapore,Kallang,Dimension Data,
42,Senior Network Engineer,Singapore,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,"$9,500 - $12,500 a month"
43,Overall System Architect,Central Singapore,Siemens AG,
44,Digital Integration Senior Architect,Singapore,Accenture,
45,AP Analyst,Singapore,Autodesk,
46,Senior Business Analyst,Singapore,COMTEL SOLUTIONS PTE LTD,"$6,500 - $9,000 a month"
47,"Consulting Architect Singapore,",Singapore,VMware,
48,Principal Software Engineer / Architect - Payments (Fintech),Singapore,Traveloka,
49,Data Scientist,Singapore,Ensign InfoSecurity,
50,Senior Data Architect / Data Architect,Singapore,Wildlife Reserves Singapore,
51,Solution Architect,Singapore,Manulife,
52,Sales Engineer,Singapore,Trustwave,
53,"Enterprise Architect Singapore,",Singapore,VMware,
54,Head of Data Analytics,Singapore,Global Search Partners Pte Ltd,
55,"Data Scientist, Singapore",Singapore,Axinan,
56,Consumer Networks - Orchestration Architect (112118),Singapore,Singtel,
57,Data Manager/Architect,Singapore,Enggsol Pte Ltd,
58,Technology Architect - Pega LSA,Singapore,Infosys Limited Singapore Branch,
59,Software Solution Architect,Singapore,DHI WATER & ENVIRONMENT (S) PTE. LTD.,"$5,000 - $8,000 a month"
60,Azure Architect EPS,Singapore,Infosys Limited Singapore Branch,
61,Solution Architect (NDI - Trusted Data),Singapore,Government Technology Agency,
62,Solution Architect,Singapore,Huxley APAC,
63,Data Scientist,Singapore,Thales Group,
64,Data Scientist (Junior/Senior/Principal/Architect) - Singapo...,Singapore,Cermati.com,
65,Associate - Projects,Singapore,Cognizant,
66,"Head of Data Analytics, AI & ML Growth Team",Singapore,Amazon Web Services Singapore,
67,ASPAC Process Architect,Singapore,bioMerieux,
68,Data Engneering (Visualisation),Singapore,Government Technology Agency,
69,Cloud Architect,Singapore,NCS,
70,Solutions Architect – Singapore,Singapore,GigaSpaces,
71,MIDDLEWARE ADMINSTRATOR,Singapore,RESOURCE HUNT PTE. LTD.,"$7,000 - $8,000 a month"
72,Senior Data Scientist,Singapore,Singtel,
73,Data Engineer,Singapore,Shopee,
74,ICT Consultant,Singapore,Arup,
75,Genomics Big Data Architect (18 mth contract),Singapore,Kerry Consulting Pte Ltd,
76,Global Partner Solutions Architect,Singapore,Amazon Web Services Singapore,
77,Data Engineer - Financial Services,Singapore,Snaphunt Pte Ltd,
78,Machine Learning Engineer,Singapore,Cognizant,
79,User Experience Engineer,Singapore,Autodesk,
80,Software Engineer - [ Internship ],Singapore,Bosch Group,
81,Solution Architect,Singapore,,
82,Business Analyst (IT),Singapore,Y3 TECHNOLOGIES PTE LTD,"$3,000 - $5,000 a month"
83,Data Scientist,Singapore,Axinan PTE LTD,
84,"ED / SVP, Platform Architect, Group Consumer Banking and Big...",Singapore,DBS Bank,
85,Digital and Analytics Data Architect 1,Singapore,Goodyear,
86,PEGA Architect,Singapore,Career International FOS Pte Ltd,"$6,000 - $10,000 a month"
87,Senior Technical Architect,Kallang,Dimension Data,
88,Data & Analytics Development Manager – Technology Services A...,Singapore,Johnson & Johnson Family of Companies,
89,"Machine Learning Engineer, Singapore",Singapore,Axinan,
90,"Solutions Architect, MuleSoft, Singapore",Singapore,Salesforce,
91,Analytics Architect,Singapore,DXC,
92,Sr. ML Strategy Analyst,Singapore,Amazon Web Services Singapore,
93,Software Engineer,Singapore,"Williams-Sonoma, Inc.",
94,Senior Service Architect,Kallang,Dimension Data,
95,Enterprise Architect,Singapore,OpenText,
96,Solution Architect,Singapore,NCS,
97,Security Architect,Central Singapore,Avanade,
98,Systems Engineer,Singapore,Veeam Software,
99,Senior Data Scientist,Singapore,NCS,
100,"IT Solutions Data Architect, IT – IFRS17",Singapore,Great Eastern,
101,BACK UP ADMINSTRATOR,Singapore,RESOURCE HUNT PTE. LTD.,"$6,000 - $8,000 a month"
102,Software Engineer (ETL),Singapore,Snaphunt Pte Ltd,
103,Cloud Architect,Singapore,Hewlett Packard Enterprise,
104,Professional Services - Cloud Architect,Singapore,Amazon Web Services Singapore,
105,Data Scientist (Associate & Senior),Singapore,Enggsol Pte Ltd,
106,Data Architect (Big Data),Singapore,Talent Trader Group Pte Ltd,
107,"Technical Architect, Hybrid Cloud",Kallang,Dimension Data,
108,Manager â Data Engineer,Singapore,Infocomm Media Development Authority,
109,Consulting Engineer - Singapore,Singapore,Confluent,
110,Mechatronics R&D Engineer,Singapore,Flowserve Corporation,
111,Domain Architect,Singapore,United Overseas Bank,
112,Mobile Security Architect,Singapore,percept-solutions,"$10,000 - $15,000 a month"
113,Solution Architect - Northeast,East Coast,DataStax,
114,#GIT | Ref: 112813 - Staff Software Engineer,Singapore,Singtel,
115,Solutions Architect,Singapore,Equinix,
116,Specialist Solutions Architect - SAP,Singapore,Amazon Web Services Singapore,
117,Senior Experience Designer - Freelance,Central Singapore,Publicis Sapient,
118,Machine Learning Engineer,Singapore,Axinan PTE LTD,
119,Solution Architect,Singapore,Tableau,
120,"Head of Connections Strategy, Strategy & Planning",Singapore,Digitas,
121,Senior Big Data Architect,Singapore,Kerry Consulting Pte Ltd,
122,Principal Architect,Singapore,BMC Software,
123,Technology Business Analyst,Singapore,OCBC Bank,
124,Software Engineer/Architect for Video Service Quality,Singapore,Apple,
125,Cloud Engineer / Senior Cloud Engineer,Singapore,S & I SYSTEMS PTE LTD,"$5,000 - $9,000 a month"
126,Business Analyst (Corporate Banking),Singapore,Snaphunt Pte Ltd,
127,AWS APAC Next Gen Internship Program (July to December 2020),Singapore,Amazon Web Services Singapore,
128,Principal Architect,Singapore,iSTOX,
129,Modelling and Simulation Engineer,Singapore,Government Technology Agency,
130,Senior Data Engineer,Singapore,NextWave Partners,
131,Consumer Networks - Core Engineer (5G Enterprise) (114137),Singapore,Singtel,
132,"VP, Senior Big Data Engineer, Group Consumer Banking and Big...",Singapore,DBS Bank,
133,"VP/AVP Solutions Architect, Group Consumer Banking and Big D...",Singapore,DBS Bank,
134,Technical Specialist,Singapore,Microsoft,
135,Business Analyst (Key Accounts),Singapore,Snaphunt Pte Ltd,
136,Lead Architect,Singapore,Exyte,
137,Solution Architect - Implementations,Singapore,Sitetracker,
138,"VP/AVP, Technical Architect, Group Consumer Banking and Big...",Singapore,DBS Bank,
139,CISO - Tech Unicorn,Singapore,,
140,Senior Software Engineer,Singapore,,
141,IT Network Engineer,Singapore,"Arrow Electronics, Inc.",
142,Chief Architect (AI/Data-as-a-Service),Tanjong Pagar,Adecco - GS Perm,
