,Title,Summary,Location,Company,Salary
0,Big Data Engineer,The big data engineer executes master data management policies developed by the data architect.The big data engineer implements and maintains the information…,Central Singapore,Siemens AG,
1,Data Engineer (Data Ingestion),"The Data team at Traveloka consists of Analytics, Data Platform, Data Science, Machine Learning / AI groups, individually comprising expansively diverse team of…",Singapore,Traveloka,
2,IOT Architect - Engineering X.0,Responsibilities of an Industrial IOT Solution Architect for Engineering X.0:Gather and analyze data and develop architectural requirements at project level.,Singapore,Accenture,
3,Azendian - Data Engineer Role,"We are looking for dynamic data professionals who will be part of data engineering team, designing and developing high quality data products - data warehouse,…",Singapore,TechSkills Accelerator,
4,Data Architect,"Experience in master data management, data governance, data lifecycle management etc.;You will be involved in design, develop, document, manage and maintain…",Singapore,ST Electronics (Info-Software Systems) Pte Ltd,
5,Data Architect,Data ArchitectJob DescriptionYou will be the Data Architect to create the strategic architecture roadmap for making digital experience a reality for our clients…,Singapore,Enggsol Pte Ltd,
6,Data Scientist,"Big Data, Machine Learning and/or Solutions Architect).Experience in data architecture - designing, deploying, and managing scalable reference data…",Singapore,ADDO AI PTE. LTD.,"$4,500 - $7,000 a month"
7,Data Architect,"Experience in data ingestion, data integration, data quality, data profiling and data conversions.Excellent skills in data management, data modeling, data…",Singapore,percept-solutions,"$10,000 - $15,000 a month"
8,Software Engineer Architect - Payments (Fintech),"Bachelor’s Degree in Computer Science or equivalent.Join our ambitious growing team in building large impact consumer products and services, building real-time…",Singapore,Traveloka,
9,Architect Business Intellligence & Data Analytics,"Relevant experience in Business Intelligence and Data Analytics.As subject matter expert on data analytics, you contribute to evolution of service offer,…",Singapore,CA CIB Singapour,
10,Senior Software Engineer (Data Science),"Design, architect, and develop a scalable and supportable data pipeline which includes data warehousing, data integration and ETL processing.",Singapore,Micron,
11,"Analyst, Data Management and Business Intelligence","2+ years of experience in maintaining data warehouse / data mart.Drive standardization and simplification across the data architecture, lowering cost,…",Singapore,Marina Bay Sands,
12,BTO - Data Engineer,"Extensive experience directly querying large data sets including networks data, customer usage data, third party data and raw data ingested from non-standard…",Singapore,Singtel,
13,IDC Engineer,"Registered architect or PMP certification is preferable.Familiar with the mainstream products of data center power supply system, HVAC system, security…",Ang Mo Kio,COMSERVICE (SINGAPORE) SOLUTIONS PTE. LTD.,"$5,000 - $8,000 a month"
14,Data Architect,"Ensures data quality and performs data cleansing to ensure a single source of truth, to enable data as a service for business units and front-end applications…",Singapore,NCS,
15,Fab10 Data Science Engineer,Deploy Data Science Models into Business Processes.Translate business problems into one or more data science projects/solutions.,Singapore,Micron,
16,Solution Architect,"Experience across application and data architecture including design patterns, development methodologies, systems integration, data modelling.",Singapore,SCHELLDEN GLOBAL SERVICES,"$7,000 - $11,000 a month"
17,InfoSec Architect,"They include data breaches, broken authentication, hacking, account hijacking, malicious insiders, third parties, APTs, data loss and DoS attacks.",Singapore,Allianz Asia Pacific,
18,Machine Learning Engineer,Perform ad-hoc statistical and data science analysis.Implement entire ML pipeline from data pre-processing and feature engineering through model building to…,Singapore,Cognizant,
19,Data Analyst,"Data Analyst, Group Customer Analytics & Decisioning.Design of data visualisation and interactive dashboards.Banking industry experience not necessary.",Singapore,OCBC Bank,
20,Data Engineer (Data Architect),"Experience in the following cloud data technologies is a plus (AWS Data Lakes and Analytics, Google Big Data Analytics, Azure Big data and analytics, etc).",Singapore,JTC Corporation,
21,"Machine Learning Engineer, Singapore","Work with backend engineers to architect data storage and processing pipelines.Master or PhD in computer science, mathematics, or fields related to big data…",Singapore,Axinan,
22,"Customer Engineer, Data Analytics Specialist, Google Cloud","Experience with developing data warehousing, data lakes, batch or real-time event processing and ETL workflows solutions (i.e.",Singapore,Google,
23,Hull Performance Analyst,"Acumen for data analysis and mathematical modelling.As a Hull Performance Analyst at Hempel, you will be analyzing our clients fuel performance data by…",Singapore,Hempel,
24,Informatica Architect,Loading data into an enterprise data warehouse environment.Experience with Oracle Data Warehouse Console (DAC).Exposure to big data and programming is a plus.,Singapore,Amaris,
