,Title,Location,Company,Salary
0,Data Management Analyst Graduate Programme,,Kubrick Group,
1,Data Analyst,,inspiratia,
2,Data Analyst,,Applied Data Science Partners,
3,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
4,Data Analyst,,BCD Travel Corporate,
5,Data Analyst,,TalentPool,"£30,000 a year"
6,DATA AND INSIGHT ANALYST,London,Amnesty International,"£40,886 a year"
7,Supporter Data Analyst,London,Anthony Nolan,"£28,000 - £32,000 a year"
8,Global Pharma Data Analyst - Indications/Diseases,London,IQVIA,
9,Programmatic Platform Data Analyst,London Bridge Station,Digital Find Recruitment,"£60,000 - £70,000 a year"
10,Data Entry with Dutch and/or Flemish,London,Mintel,
11,Data Analyst (Graduate or 1-2 years’ experience),London EC2A,Profusion,"£25,000 - £35,000 a year"
12,Estates & Facilities Data Analyst,London,Chelsea and Westminster Hospital NHS Foundation Tr...,"£29,057 - £36,134 a year"
13,Data Analyst,London,Guru Systems,"£40,000 - £45,000 a year"
14,Data Onboarding Analyst,London,CRISIL Limited,
15,"Data Entry with Croatian, Serbian or Bosnian",London,Mintel,
16,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
17,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
18,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
19,Data Management Analyst Graduate Programme,,Kubrick Group,
20,Data Visualisation Analyst,,Knight Frank,
21,Corporate Data Analyst,London,KANTAR,
22,Data Analyst,London SE1,Social Finance Limited,"£25,000 - £35,000 a year"
23,919-SA-22960601-EXT Lead Data Analyst,London SE1,Public Health England,"£51,675 - £61,976 a year"
24,Information Analyst,London,L&Q,"£39,898 - £45,000 a year"
25,Senior Data and Insight Analyst,London,University of West London,"£37,190 - £45,178 a year"
26,Data Analyst,London,Kaplan International,"£27,000 - £30,000 a year"
27,Data Analyst,London,Peterson Consultancy,"£37,000 a year"
28,Junior Data Analyst,London,Sparta Global,"£21,000 - £25,999 a year"
29,Data Analyst,London,N Consulting Limited,£400 - £425 a day
30,Safeguarding Team Analyst,London E1,East London NHS Foundation Trust,"£25,489 - £28,513 a year"
31,Data Analyst,,BCD Travel Corporate,
32,Data & Operations Analyst,,TalentPool,"£36,000 a year"
33,Data Analyst,,Applied Data Science Partners,
34,Data Analyst,,inspiratia,
35,Data Analyst,,TalentPool,"£30,000 a year"
36,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
37,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
38,Data Management Analyst Graduate Programme,,Kubrick Group,
39,Data Visualisation Analyst,,Knight Frank,
40,Data Analyst,,BCD Travel Corporate,
41,Data Analyst,,Applied Data Science Partners,
42,Data Analyst,London,Pareto Law,"£42,000 - £63,000 a year"
43,Data Assistant (Temporary),London,Asos.com,
44,Loyalty Data Analyst,Hammersmith,Harrods,
45,Data Analyst,London,Discovery Communications,
46,Data Analyst,London,La Fosse Associates,£350 - £380 a day
47,Trainee Digital Technology Solutions - Data Analyst - 2020 –...,London,Skanska,
48,Data Analyst,London,CBRE Asia Pacific,
49,Data Analyst - Solar - London,London,The Green Recruitment Company,"£24,000 - £26,000 a year"
50,Workday Data Analyst,London,Lawrence Harvey,£500 - £550 a day
51,Data Analyst,London,Picked.ai,"£30,000 - £40,000 a year"
52,Data Analyst,,TalentPool,"£30,000 a year"
53,Data & Operations Analyst,,TalentPool,"£36,000 a year"
54,Data Analyst,,inspiratia,
55,Data Visualisation Analyst,,Knight Frank,
56,Data Analyst,,BCD Travel Corporate,
57,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
58,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
59,Data Management Analyst Graduate Programme,,Kubrick Group,
60,Data Analyst,,Applied Data Science Partners,
61,Entity Reference Data Analyst,London,Fitch Solutions,
62,Financial Crime Analyst,London,Monzo,
63,Data Analyst,London,Tesco,
64,Data Analyst,London,KANTAR,
65,Senior Data Analyst,London,Digitas,
66,Data Analyst,East London,Care UK Healthcare,
67,Data & Operations Analyst,London W1T,TalentPool,"£36,000 a year"
68,Insight Analyst,London,Stonor Recruitment,
69,Data Analyst,London,Facebook,
70,Information Analyst,London SW1E,Central London Community Healthcare NHS Trust,"£29,057 - £36,134 a year"
71,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
72,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
73,Data Analyst,,Applied Data Science Partners,
74,Data Analyst,,BCD Travel Corporate,
75,Data Analyst,,inspiratia,
76,Data Visualisation Analyst,,Knight Frank,
77,Intelligence and Investigation Analyst - Anti-Doping,London,Sportradar AG,
78,Data Analyst,London EC2M,Aon Corporation,
79,Promontory Analyst,London,IBM,
80,Data Analyst,London,Lawrence Harvey,£350 a day
81,Junior Service Operations Analyst,London,MasterCard,
82,Data Analyst,London Bridge Station,Stafforce,"£35,000 - £40,000 a year"
83,Trainee HR Analyst,London,House of Commons UK Parliament,"£25,001 - £30,000 a year"
84,Data Analyst,London,HSBC,
85,Data Analyst - Customer Rectification,London,TSB Banking,"£35,000 - £44,999 a year"
86,Data Analyst,London,Guardian News & Media,
87,Data Management Analyst Graduate Programme,,Kubrick Group,
88,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
89,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
90,Data Analyst,,Applied Data Science Partners,
91,Data Visualisation Analyst,,Knight Frank,
92,Data Analyst,,BCD Travel Corporate,
93,Data Analyst,London EC1V,EMIS,
94,Data Standard Analyst - Biostatistics Team,London,Medpace,
95,Data Developer and Reporting Insight Analyst,London E14,General Pharmaceutical Council,"£37,105 - £45,200 a year"
96,Data Analyst / Junior Data Engineer,London,Cervello Inc,
97,PMO Analyst,London,Macmillan Cancer Support,"£36,000 - £42,000 a year"
98,Data Analyst - Telecoms,London,IRIS Service Delivery,
99,Data Analyst,London,Michael Page UK,£150 - £200 a day
100,Data Analyst – Strategic Workforce Planning – London,London,PwC,
101,Data Analyst Apprentice,London,Amazon EU SARL (UK Branch),
102,"Data Engineer, Analytics (University Intern, London 2020)",London,Facebook,
103,Data Management Analyst Graduate Programme,,Kubrick Group,
104,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
105,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
106,Junior Data Analyst (6 Month Fixed Term Contract),London,Universal Music Group,
107,Data Analyst,London,Amazon UK Services Ltd.,
108,Data Analyst,London,KellyDeli,
109,Analyst,London,Mizuho,
110,Business Analyst (Data),London,Dunelm,
111,Data Analyst,London,GoCardless,
112,Data Analyst,London,Black Swan Data Ltd,
113,Analyst,London,Digitas,
114,Data Analyst,London,Conde Nast,
115,Data Analyst Internship,London EC1M,Fixter Ltd,
116,Data Visualisation Analyst,,Knight Frank,
117,Data Analyst,,BCD Travel Corporate,
118,Data Analyst,,Applied Data Science Partners,
119,Data Analyst,,inspiratia,
120,Data Management Analyst Graduate Programme,,Kubrick Group,
121,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
122,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
123,Analyst (f/m/d) UK,,innogy Consulting GmbH,
124,Data Management Analyst Graduate Programme,,Kubrick Group,
125,Data Analyst,,BCD Travel Corporate,
126,Data Visualisation Analyst,,Knight Frank,
127,Head of Customer Data Science,London SE1,tuiinfotec,
128,Junior Credit Analyst,London,Reorg Research,
129,COUNTRY RISK ANALYST,London,Chubb,
130,Data Analyst,London WC1X,TalentPool,"£30,000 a year"
131,Intelligence Unit Analyst London and South East,London,HM Prison & Probation Service,"£27,021 - £34,461 a year"
132,PMO Analyst,London,PRO Insurance Solutions,
133,Data Business Analyst,London EC3A,onezeero,
134,Data Engineer,London,Mars,
135,Data Analyst,London W8,ESI Media,
136,Data Analyst,London,Attest,
137,Data Analyst,,Applied Data Science Partners,
138,Data Analyst,,inspiratia,
139,Data Analyst,,TalentPool,"£30,000 a year"
140,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
141,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
142,Data Analyst - junior,London,Colours_of_data,
143,Governance On boarding Analyst,London,CRISIL Limited,
144,Junior Marketing Data Analyst Role (London - Immediate Start...,London SE1,Merkle Periscopix,
145,Data Analyst,London,Linux Recruit,£330 - £370 a day
146,Data Insight Analyst,London SW11,A.S. Watson Group,
147,Financial Institutions Data Analyst - Banking,London,Fitch Solutions,
148,Data & Insights Analyst,London NW8,Dune Group,
149,Data Entry with Polish,London,Mintel,
150,"Data Entry with Danish, Norwegian, Swedish or Finnish",London,Mintel,
151,Graduate Operations Analyst Internship,London,Page Personnel - UK,£15 an hour
152,Data Management Analyst Graduate Programme,,Kubrick Group,
153,Data Analyst,,Applied Data Science Partners,
154,Data Visualisation Analyst,,Knight Frank,
155,Data Analyst,,BCD Travel Corporate,
156,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
157,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
158,Integration Data Analyst,London,GVC Holdings,"£35,000 - £45,000 a year"
159,Data Analyst,Latimer Road Station,FRONTIER TECHNOLOGY,"£20,000 - £23,000 a year"
160,Data Analyst (Tommy Hilfiger & Calvin Klein),London,Tommy Hilfiger,
161,Junior Business Intelligence Analyst,London NW1,University College London Hospitals NHS Foundation...,
162,Data Engineer (Graduate or 1-2 years’ experience),London,Profusion,"£25,000 - £35,000 a year"
163,Treasury Analyst,London,Tesco Bank,
164,Lead Data Analyst,London,Public Health England,"£51,675 - £61,976 a year"
165,Housing Asset Management Data Analyst,London EC1M,Southern Housing,"£37,000 a year"
166,Data Visualisation and Automation Analyst,London,Sainsburys,
167,Data Analyst,London,M&GPrudential,
168,Data Management Analyst Graduate Programme,,Kubrick Group,
169,Data Analyst,,Applied Data Science Partners,
170,Data Visualisation Analyst,,Knight Frank,
171,Data Analyst,,BCD Travel Corporate,
172,Data Visualisation Analyst,,Knight Frank,
173,Data Management Analyst Graduate Programme,,Kubrick Group,
174,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
175,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
176,Research Analyst,London,KANTAR,
177,Underwriting Assistant,London,Allianz,
178,Data Analyst,London,Kinetic Investments,
179,Data Analyst Financial Services,London EC3V,Aon Corporation,
180,Analyst-Plastics Recycling,London,RELX Group,
181,Technical Data Analyst,London,Legal & General Group Plc.,
182,Data Science Analyst - EMEA,London EC2M,Revionics,
183,Analyst Band 1,London EC4A,UK Government - Government Actuary's Department,"£21,440 a year"
184,Graduate Data Analyst,London,3Search,"£26,000 - £30,000 a year"
185,Analyst or Senior Analyst - European Living Team,London W1G,Hines,
186,Data Analyst,,Applied Data Science Partners,
187,Data Analyst,,inspiratia,
188,Data Analyst,,TalentPool,"£30,000 a year"
189,Data Analyst,,BCD Travel Corporate,
190,Analyst (f/m/d) UK,,innogy Consulting GmbH,
191,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
192,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
193,Analyst (f/m/d) UK,,innogy Consulting GmbH,
194,Data Management Analyst Graduate Programme,,Kubrick Group,
195,Data Analyst,,BCD Travel Corporate,
196,Data Visualisation Analyst,,Knight Frank,
