,Title,Location,Company,Salary
0,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
1,"Analyst, Collateral Management - Clearing",,BlackRock,
2,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
3,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
4,Statistical Data Analyst,Edinburgh,Quotient Limited,
5,Junior Marketing Data Analyst Role (Edinburgh - Immediate St...,Edinburgh EH3,Merkle Periscopix,
6,Data Analyst,Edinburgh,Standard Life Aberdeen,
7,Business Analyst,Edinburgh,CITI,
8,Data Management Analyst,Edinburgh,Outsource UK,"£38,000 - £48,000 a year"
9,IT Analyst (x24),Edinburgh,Tesco Bank,
10,"Business/Data Analyst, Associate",Edinburgh EH3,BlackRock,
11,Data Analyst,Edinburgh,FINTEC recruit,"£35,000 - £40,000 a year"
12,Graduate IT Innovation Analyst,Edinburgh,Leonardo,
13,Data Privacy Compliance Analyst,Edinburgh,FNZ,
14,"Aladdin Business, Client Services Analyst",,BlackRock,
15,"Technical Support Analyst, Aladdin Product Group",,BlackRock,
16,Systems Analyst,,Core-Asset Consulting,
17,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
18,"Business/Data Analyst, Associate",,BlackRock,
19,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
20,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
21,"Business/Data Analyst, Associate",,BlackRock,
22,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
23,"Analyst, EMEARC Wind",Edinburgh,Wood Mackenzie,
24,"Wealth Management, Operations Team Member, Edinburgh",Edinburgh EH12,JP Morgan Chase,
25,Business Analyst - Transformation (X7),Edinburgh,Tesco Bank,
26,Client Servicing Analyst,Edinburgh,Clearwater Analytics,
27,Insider and DLP Operations Analyst,Edinburgh,Lloyds Banking Group,"£24,750 - £27,500 a year"
28,Assistant Statistician,Edinburgh,The Scottish Government,"£29,759 - £34,087 a year"
29,Business Analyst (Data BA),Edinburgh,Core-Asset Consulting,
30,HR Payroll Data Analyst,Edinburgh,FNZ,
31,"Analyst, Collateral Management - Clearing",Edinburgh EH3,BlackRock,
32,Financial Analyst / Accountant,Edinburgh,Coda Octopus Products Ltd,
33,"Aladdin Business, Client Services Analyst",,BlackRock,
34,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
35,Systems Analyst,,Core-Asset Consulting,
36,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
37,"Analyst, Collateral Management - Clearing",,BlackRock,
38,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
39,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
40,"Business/Data Analyst, Associate",,BlackRock,
41,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
42,"Analyst, Collateral Management - Clearing",,BlackRock,
43,"Aladdin Business, Client Services Analyst",,BlackRock,
44,Equity and Bond Trade Support Analyst,Edinburgh,Standard Life Aberdeen,
45,Performance Analyst,Edinburgh,Standard Life Aberdeen,
46,"""Immediate Need for Business Analyst""",Edinburgh EH12,Infoplus Technologies,
47,Material Analyst,Edinburgh,Diageo,
48,Sales Operations Analyst,Edinburgh,Dexcom,
49,CIS Product Data Analyst,Edinburgh,HSBC,
50,Data Analyst,Edinburgh,Hydrogen Group,
51,Market Analyst – Benchmark Content Production,Edinburgh,Refinitiv,
52,Helpcentre Analyst,Edinburgh EH3,Zonal Retail Data Systems Limited,
53,Business Intelligence Engineer,Edinburgh,Amazon UK Services Ltd.,
54,Head of Data Management / Data Management Director,,People's Energy,
55,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
56,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
57,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
58,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
59,"Business/Data Analyst, Associate",,BlackRock,
60,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
61,"Analyst, Collateral Management - Clearing",,BlackRock,
62,Business Analyst,Edinburgh,Lloyds Banking Group,"£54,300 - £72,400 a year"
63,Data Analyst,Edinburgh,Head Resourcing Limited,
64,Client Service Support Analyst,Edinburgh,JP Morgan Chase,
65,Business Analyst (GDS),Edinburgh,ISR Recruitment,£425 - £450 a day
66,Migrations - Test Analyst,Edinburgh,FNZ,
67,Data Scientist (Infrastructure Services),Edinburgh,Tesco Bank,
68,Senior Data Analyst,Edinburgh,Amaze,
69,Business Analyst (Data),Edinburgh,Vertus Partners,"£35,000 - £40,000 a year"
70,Credit Risk Analyst,Edinburgh,Sainsburys,
71,Business Analyst,Edinburgh,Diligenta,"£35,369 a year"
72,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
73,Head of Data Management / Data Management Director,,People's Energy,
74,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
75,"Aladdin Business, Client Services Analyst",,BlackRock,
76,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
77,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
78,"Business/Data Analyst, Associate",,BlackRock,
79,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
80,Technical Support Analyst,Midlothian,Jonas Software,
81,Lead Business Analyst,Edinburgh,Lloyds Banking Group,"£48,771 - £54,190 a year"
82,Sustainable Investment Product Analyst,Edinburgh,Standard Life Aberdeen,
83,Graduate IT Service Operation Analyst,Edinburgh,Leonardo,
84,Test Analyst,Edinburgh,CGI,
85,"Aladdin Business, Client Services Analyst",Edinburgh EH3,BlackRock,
86,Security Monitoring Analyst,Edinburgh,Head Resourcing Limited,"£35,000 - £40,000 a year"
87,EU Workflow Analyst,Edinburgh,Amazon EU SARL (UK Branch),
88,Data Governance Analyst,Edinburgh,Core-Asset Consulting,
89,MI Analyst,Edinburgh,Michael Page UK,"£35,000 - £45,000 a year"
90,"Analyst, Collateral Management - Clearing",,BlackRock,
91,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
92,Head of Data Management / Data Management Director,,People's Energy,
93,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
94,"Aladdin Business, Client Services Analyst",,BlackRock,
95,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
96,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
97,"Analyst, Collateral Management - Clearing",,BlackRock,
98,"Business/Data Analyst, Associate",,BlackRock,
99,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
100,Business Analyst,Edinburgh,Version 1,
101,Business Analyst,Edinburgh,BJSS,
102,Industrial Placement IT Service Operation Analyst,Edinburgh,Leonardo,
103,IT Service Management Analyst,Edinburgh,Atos,
104,Business Intelligence Analyst,Edinburgh,University of Edinburgh,
105,Director of Data Engineering,Edinburgh,Wood Mackenzie,
106,Data Management Implementation Analyst,Edinburgh,myfuturerole.com,
107,Senior Data Analyst,Edinburgh,Informatiq Consulting,"£46,000 a year"
108,Advisory Graduate - Valuations,Edinburgh,BDO,
