,Unnamed: 0,Title,Location,Company,Salary,City,Sal,Pay,entry_job,senior_job,temp_job,analyst,developer,designer,engineer,assistant,administrator,scientist,officer,architect,consultant,tester,planner,controller
0,8,Data Management Analyst,Edinburgh,Outsource UK,"£38,000 - £48,000 a year",Edinburgh,43000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,11,Data Analyst,Edinburgh,FINTEC recruit,"£35,000 - £40,000 a year",Edinburgh,37500.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,27,Insider and DLP Operations Analyst,Edinburgh,Lloyds Banking Group,"£24,750 - £27,500 a year",Edinburgh,26125.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,28,Assistant Statistician,Edinburgh,The Scottish Government,"£29,759 - £34,087 a year",Edinburgh,31923.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,62,Business Analyst,Edinburgh,Lloyds Banking Group,"£54,300 - £72,400 a year",Edinburgh,63350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,69,Business Analyst (Data),Edinburgh,Vertus Partners,"£35,000 - £40,000 a year",Edinburgh,37500.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,71,Business Analyst,Edinburgh,Diligenta,"£35,369 a year",Edinburgh,35369.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,81,Lead Business Analyst,Edinburgh,Lloyds Banking Group,"£48,771 - £54,190 a year",Edinburgh,51480.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,86,Security Monitoring Analyst,Edinburgh,Head Resourcing Limited,"£35,000 - £40,000 a year",Edinburgh,37500.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,89,MI Analyst,Edinburgh,Michael Page UK,"£35,000 - £45,000 a year",Edinburgh,40000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,107,Senior Data Analyst,Edinburgh,Informatiq Consulting,"£46,000 a year",Edinburgh,46000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,129,Senior Analyst- Data Management,Edinburgh,Head Resourcing Limited,"£38,000 a year",Edinburgh,38000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,164,Technical Business Analyst,Edinburgh,INOV8 Consulting Ltd,"£25,000 - £40,000 a year",Edinburgh,32500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,177,Pensions Analyst Edinburgh,Edinburgh,Profile Search and Selection Ltd,"£25,000 - £33,000 a year",Edinburgh,29000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,180,Application Support Analyst,Edinburgh,Head Resourcing Limited,"£25,000 - £30,000 a year",Edinburgh,27500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,184,Consultant - D&A Remediation team,Edinburgh ,Sopra Steria,"£35,000 a year",Edinburgh,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,222,Business Analyst/EUC Developer,Edinburgh,GCS Recruitment Specialists Ltd,"£80,000 - £90,000 a year",Edinburgh,85000.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,256,SAS Developer / Consultant,Edinburgh,INOV8 Consulting Ltd,"£25,000 - £42,000 a year",Edinburgh,33500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
18,257,Finance Analyst,Edinburgh,Michael Page UK,"£30,000 - £32,500 a year",Edinburgh,31250.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,278,Senior Technical Support Analyst,Edinburgh ,Lorien Resourcing,"£40,000 a year",Edinburgh,40000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,294,IT Service Delivery Manager,Edinburgh,Gallagher Scott,"£38,000 - £45,000 a year",Edinburgh,41500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,300,Scientific Software Developer,Edinburgh,System Recruitment,"£45,000 - £55,000 a year",Edinburgh,50000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,364,Information Analyst,Liverpool ,Liverpool University Hospitals NHS Foundation Trus...,"£24,214 - £30,112 a year",Liverpool,27163.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,370,Specialist Intelligence Analyst,Liverpool ,NHS Liverpool Clinical Commissioning Group,"£30,401 - £37,267 a year",Liverpool,33834.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,382,Project Analyst,Knowsley,Fusion21 Ltd,"£20,000 - £25,000 a year",Liverpool,22500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
