,Title,Summary,Location,Company,Salary,City,Sal,Pay,Annual,entry_job,senior_job,temp_job
0,Disability Analyst,For information on how your data for job applications will be processed and stored with Ascenti please visit our website here: www.ascenti.co.uk/recruitment…,Kingston upon Hull,Ascenti,"£32,000 a year",Rest of UK,32000.0,0,1,0,0,0
1,Trainee Robotics Process Automation - Hull,The ability to analyse data or information effectively to break complex problems down into simple steps.It is designed to automate business processes that are…,Kingston upon Hull,FDM Group - FDM Graduate Programme,"£23,500 - £26,000 a year",Rest of UK,24750.0,0,1,1,0,0
2,Demand Planner,Analyse data and reports to produce accurate stock order sheets and work closely with the purchasing departments to ensure accurate stock levels are maintained.,Kingston upon Hull,Edwards & Pearce,"£30,000 - £35,000 a year",Rest of UK,32500.0,0,1,0,0,0
3,BI Developer,"You will either be a BI Analyst, Developer or Administrator and have a keen interest of how Data and Data Driven insights can drive performance and optimisation…",Kingston upon Hull,Cathcart Associates,"£25,000 - £35,000 a year",Rest of UK,30000.0,0,1,0,0,0
4,Interim Part Qualified Accountant / Finance Analyst,Capable of working with large volumes of data you are a good problem solver and adept at investigating variances and incomplete data.,Kingston upon Hull,Edwards & Pearce,"£30,000 a year",Rest of UK,30000.0,0,1,0,0,1
5,Data Management Analyst,"Communication – the Analyst is expected to communicate effectively with data providers, team members and managers.The role is available on a full-time basis.",Belfast,Funds-Axis Limited,"£20,000 a year",Belfast,20000.0,0,1,0,0,0
6,Risk & Compliance Analyst,"Data upload and exception investigation.Communication – the Analyst is expected to communicate effectively with clients, team members and managers.",Belfast,Funds-Axis Limited,"£21,000 - £26,000 a year",Belfast,23500.0,0,1,0,0,0
7,Business Analyst,"Analysing data from a range of systems, using MS Excel, Google Data Studio, and Google Analytics.Leverage data to inform publishing, content, advertising sales…",Belfast,Lynn Recruitment,"£25,000 a year",Belfast,25000.0,0,1,0,0,0
8,Regulatory Reporting Analyst,Ability to extract and manipulate data using SQL and/or SAS and other data.Experience in presenting accurate data and working to a tight timescale.,Belfast,Danske Bank,"£28,254 - £44,142 a year",Belfast,36198.0,1,1,0,0,0
9,Reporting Analyst,Use of Business Intelligence tools to extract data from key systems and provide end user reports and data files.,Belfast,Apple Recruitment,"£25,000 - £36,000 a year",Belfast,30500.0,0,1,0,0,0
